dimension_id,"name",parent_id,type_id
128,"Dimension",NULL,1534
130,"Eclair",NULL,1
131,"Ram",NULL,1
132,"Capacitive Screen",NULL,1
133,"Not Updated To Gingerbread",NULL,1
134,"Processor 528M",NULL,1
135,"Android",NULL,1
136,"Android2.3",NULL,1
137,"Processor Snapdragon",NULL,1
138,"Price $345",NULL,1
139,"Gorilla Glass",NULL,1
140,"Android 1.5",NULL,1
141,"192",NULL,1
142,"Price $180",NULL,1
143,"Price $364",NULL,1
144,"Weight",NULL,1
145,"Back Support",NULL,1738
146,"Keyboard Panel",NULL,1738
147,"Work Surface",NULL,1738
148,"Storage",NULL,1738
149,"Time To Build",NULL,1738
150,"Comfortable",NULL,1738
151,"Color",NULL,1861
155,"Reviews",NULL,1861
156,"Camera Specs",NULL,1148
158,"Memory On Device",NULL,1148
160,"Movie Mode",NULL,0
161,"Zoom",NULL,0
610,"Headlamp",NULL,0
163,"HD Camera",NULL,0
164,"OS",NULL,0
165,"Hard Drive",NULL,0
166,"Battery",NULL,0
168,"USB Ports",NULL,0
613,"Big Juice",NULL,3001
173,"Enjoyment",NULL,0
175,"Time Capsule",NULL,0
176,"Party",NULL,0
178,"Customer Support",NULL,0
1240,"Adjustability",NULL,0
599,"Res",NULL,0
181,"Warping",NULL,0
182,"Appearance",NULL,0
612,"Spike Shoes",NULL,0
184,"Fun",NULL,0
611,"Rock Wall",NULL,0
186,"Flexibility",NULL,0
187,"Upper-net",NULL,0
188,"Lower-net",NULL,0
189,"L",NULL,0
190,"Unpredictable",NULL,0
192,"Stabilization",NULL,0
193,"Stab",NULL,0
194,"Sta",NULL,0
195,"Wrap",NULL,0
197,"General",NULL,0
199,"Value",NULL,0
201,"UI",NULL,0
1517,"Ease Of Cleaning",NULL,0
592,"Shar",NULL,0
204,"Val",NULL,0
205,"Newdimension",NULL,0
206,"Buttons",NULL,0
207,"Button Layout",NULL,0
208,"Plug & Play",NULL,0
209,"Sturdy",NULL,0
210,"D Pad",NULL,0
211,"Image Quality",NULL,0
212,"Something",NULL,0
213,"That",NULL,0
214,"Things",NULL,0
215,"Mario",NULL,0
216,"Maro",NULL,0
1494,"LCD Screen Articulated",NULL,0
219,"Games",NULL,0
220,"NES",NULL,0
221,"Stuff",NULL,0
222,"Elements",NULL,0
223,"Element",NULL,0
224,"Purchase",NULL,0
225,"Elem",NULL,0
226,"Deliv",NULL,0
228,"Accuracy",NULL,0
229,"Trap",NULL,0
230,"Destruction",NULL,0
231,"Digital",NULL,0
232,"Upgrade",NULL,0
233,"Lens Upgrade",NULL,0
235,"LCD Screen",NULL,0
236,"Quality Of Pics",NULL,0
237,"Professional Users",NULL,0
238,"Cost With Lens Upgrade",NULL,0
239,"Functionality/Ease Of Use",NULL,0
240,"Low-light Performance",NULL,0
241,"Built In Flash",NULL,0
242,"Video Quality",NULL,0
243,"Start Up Speed",NULL,0
244,"Audio Recording Audjustments",NULL,0
245,"Rugged",NULL,0
246,"Ergonomic Control Arrangement",NULL,0
247,"Articulating LCD Screen",NULL,0
248,"Stability",NULL,0
249,"Shutter Speed",NULL,0
250,"Firmware",NULL,0
251,"LCD Screen Resolution",NULL,0
252,"Low Light Image Quality",NULL,0
253,"Lens Compatibility",NULL,0
254,"Borrowing",NULL,0
256,"Streaming",NULL,0
1530,"No Autofocus",NULL,NULL
258,"Batteru",NULL,0
259,"Relating To Me",NULL,0
260,"HD Video",NULL,0
261,"Costs",NULL,0
262,"Customer Service",NULL,0
263,"Cleaning Up",NULL,0
265,"Installation",NULL,0
266,"Weight Limits",NULL,0
268,"Conven",NULL,1743
269,"Performance - Speed",NULL,0
270,"Travel",NULL,0
271,"Everyday Use",NULL,0
272,"Focus",NULL,0
273,"Lens Ease Of Use",NULL,0
274,"Navigation",NULL,0
275,"Distance Photography",NULL,0
276,"Low Resolution",NULL,0
277,"Heavy",NULL,0
278,"Lightweight",NULL,0
279,"Great Image Quality",NULL,0
281,"Battery Weight",NULL,0
282,"Battery Li",NULL,0
283,"Hard To Install",NULL,0
284,"Recommended By Consumer Reports",NULL,0
285,"Holds Child Up To 65 Pounds",NULL,0
286,"Easy To Install",NULL,0
287,"Installing",NULL,0
288,"Kid Liking It",NULL,0
289,"Material",NULL,0
290,"Size Of Seat",NULL,0
291,"Cleaning",NULL,0
292,"Bread",NULL,0
293,"Video Features",NULL,0
294,"Weight (relatively Light)",NULL,0
295,"Performance Speed",NULL,0
296,"Customer Use",NULL,0
297,"In Live Picture Mode",NULL,0
298,"Low-light Performance.",NULL,0
299,"User Friendliness",NULL,0
300,"Low Weight",NULL,0
301,"Price--expensive.",NULL,0
302,"Autofocus When Zooming",NULL,0
303,"Battery--need An Extra",NULL,0
304,"Controls User Friendly",NULL,0
305,"Zooming",NULL,0
306,"Comparing With Other Cameras",NULL,0
307,"Autofocus (too Slow)",NULL,0
308,"Use For Beginners",NULL,0
309,"Price Becoming Cheaper",NULL,0
310,"Tips: Uv Filter",NULL,0
311,"Spare Battery",NULL,0
312,"First Time User",NULL,0
313,"Great Reviews",NULL,0
314,"Quality (grainy)",NULL,0
315,"Lowlight Auto Focus",NULL,0
316,"Balance",NULL,0
317,"Good Quality Videos",NULL,0
318,"Speed In Comparison To T2i",NULL,0
319,"Unpredicatable",NULL,0
320,"Can Be Used Everyday",NULL,0
321,"Delays",NULL,0
322,"Feel",NULL,0
323,"First Time Users",NULL,0
324,"Ergonomic",NULL,0
325,"User Friendly",NULL,0
326,"Clear View Finder",NULL,0
327,"Cust",NULL,0
328,"Weight--light",NULL,0
329,"Customer Reviews",NULL,0
333,"Poor Auto Quality",NULL,0
334,"Simple Menu",NULL,0
335,"Autofocus ",NULL,0
336,"Flip Out Screen",NULL,0
337,"Slow Auto Focus",NULL,0
338,"Usability In Awkward Shooting Positions",NULL,0
339,"Slo Mo Great",NULL,0
340,"Weight And Design",NULL,0
341,"Operation",NULL,0
342,"Brand Specific Memory Cards",NULL,0
343,"C",NULL,0
344,"Auto Features Low Quality Picture",NULL,0
345,"And Quality",NULL,0
346,"Grainy Pictures",NULL,0
347,"Not Very User Friendly For Novices",NULL,0
348,"Versatile Usage - Beginner To Advanced",NULL,0
349,"Fast Autofocus",NULL,0
350,"Battery Life Low",NULL,0
351,"Fast Start Up",NULL,0
352,"Heavy But Sturdy",NULL,0
353,"Small And Lightweight",NULL,0
355,"Superb Image Quality",NULL,0
356,"Low Light",NULL,0
357,"Flexible For Novices And Experts",NULL,0
358,"Flip Out LCD",NULL,0
359,"Many Modes",NULL,0
360,"Live Mode Slow",NULL,0
361,"But Faster Than T3i",NULL,0
362,"Controls Are A Little Harder",NULL,0
363,"Comfort",NULL,0
364,"Space",NULL,0
365,"Removable Head Rest",NULL,0
366,"Options Are Explained",NULL,0
367,"Yellowish Images",NULL,0
368,"T2i Better",NULL,0
369,"Material Of Seat Cover",NULL,0
370,"Power Switch Is Perfectly Placed",NULL,0
371,"Motion Shots Are Clear",NULL,0
372,"Hard To Clean",NULL,0
373,"Poor Quality Pix",NULL,0
374,"Customer Review Ratings",NULL,0
375,"UV Filter",NULL,0
376,"Auto Focus",NULL,0
377,"Screen Lens",NULL,0
378,"Auto",NULL,0
379," Speed",NULL,0
380,"Service",NULL,0
381,"Service Warranty",NULL,0
382,"Aut",NULL,0
383,"Longer Battery Life",NULL,0
384,"Customer ",NULL,0
387,"T3i Better Than Nikon",NULL,0
388,"Roomier Than Other Carriers",NULL,0
389,"Installation Might Be Hard Without Directions--not Intuitive",NULL,0
390,"FIt",NULL,0
391,"Head Rest Does Not Block Driver View",NULL,0
392,"Use",NULL,0
393,"Install",NULL,0
394,"A Bigger Car Seat",NULL,0
395,"Not For Use As An Infant Seat",NULL,0
396,"Baby Comfort",NULL,0
397,"Roomy",NULL,0
398,"Detachable Cup Holder",NULL,0
399,"Easy To Clean For Accidents",NULL,0
400,"Easy Installation",NULL,0
401,"Feature",NULL,0
402,"Not For Smaller Vehicles",NULL,0
403,"Size Fits Infants To Toddlers",NULL,0
404,"Instructions Simple",NULL,0
405,"Bulky",NULL,0
406,"Adjustable Height",NULL,0
407,"Padding Issues",NULL,0
408,"More Expensive",NULL,0
409,"Roomier Than Other Seats",NULL,0
410,"Cheap",NULL,0
411,"User Friendly Easy To Install",NULL,0
413,"Safe",NULL,0
414,"And Secure",NULL,0
415,"Initially More Difficult To Install",NULL,0
416,"Scratchy Cover Material",NULL,0
417,"Harder To Adjust For Straps",NULL,0
418,"Harder To Clean",NULL,0
419,"Requires A Seat Protector",NULL,0
420,"Cleanabilty",NULL,0
421,"View Obstruction",NULL,0
422,"Parts",NULL,0
423,"Thickness",NULL,0
424,"Easy To Carry",NULL,0
425,"That Is",NULL,0
426,"Neither Cumbersome Nor Heavy.",NULL,0
427,"Light Weight",NULL,0
428,"Built-in Flash Being Less The Optimal",NULL,0
429,"LOTS OF POSITIVE FEATURES",NULL,0
430,"ALL FIVE STARS",NULL,0
431,"Want Of Autofocus Whilst Zooming.",NULL,0
432,"18-135mm Lens (single Lens)",NULL,0
433,"Average 4.5 Stars",NULL,0
434,"Relative Cost",NULL,0
435,"High-def Capability",NULL,0
436,"Good For Novices",NULL,0
437,"No Flip Out LCD",NULL,0
438,"Cons About Product",NULL,0
439,"Lack Of Adjustment Bar For Audio Recording Purposes",NULL,0
440,"Controls Easy To Use",NULL,0
441,"How Quickly Pictures Are Taken",NULL,0
442,"Name Of Product",NULL,0
443,"Articulated LCD Screen To Facilitate Taking Pictures From Awkward Angles",NULL,0
444,"T3i Body Is Solid",NULL,0
445,"Positive Review",NULL,0
446,"Durable Neck Strap Not To Mention Being A Lightweight Device",NULL,0
447,"3 Star Review Complains About Delays",NULL,0
448,"Average Review 4.5",NULL,0
449,"Slower Than T2i",NULL,0
450,"Another Positive Review",NULL,0
451,"Its Auto Mode Not Taking The Highest Quality Of Pics",NULL,0
452,"Pros About The Camera",NULL,0
453,"Cons About The Camera",NULL,0
454,"1080 P Video",NULL,0
455,"Mistake To Buy 2 Lenses",NULL,0
456,"Ease Of Operation",NULL,0
457,"Price 549",NULL,0
458,"No Wireless Remote As Well As The Low Resolution Of Its LCD Screen",NULL,0
459,"Pros About The Product",NULL,0
460,"Battery Longevity From Day To Day",NULL,0
461,"Useful For Beginners",NULL,0
462,"Point And Shoot Mode",NULL,0
463,"Its Live Mode Feature Speed",NULL,0
464,"Average 4.5 Out Of 5 Stars",NULL,0
465,"Light Wt And Easy To Operate",NULL,0
466,"APS-C Sensor And Hi-res Screen Alike",NULL,0
467,"699",NULL,0
468,"Perfect For Beginners",NULL,0
469,"Price - $699 ",NULL,0
470,"Pros",NULL,0
471,"Easy To Use",NULL,0
472,"Cons About Camera",NULL,0
473,"Common Issues Between Nikon Vs Canon",NULL,0
474,"Better Video Than D3100",NULL,0
475,"Nikon Has Better Image Quality Than Canon T3i",NULL,0
476,"Name Of P Roduct",NULL,0
477,"Plus Price",NULL,0
478,"4.5 Revew 799 Price",NULL,0
479,"Removable Headrest",NULL,0
480,"Economical",NULL,0
481,"Or Relatively Inexpensive",NULL,0
482,"Or Comparably Inexpensive",NULL,0
483,"Seat Comfort And Level Of Support (padding)",NULL,0
484,"Ease Of Installation",NULL,0
485,"Not Easy To Clean Nor Is The Headrest Detachable",NULL,0
486,"Disagreeably Big",NULL,0
487,"Installation Difficult And Time-consuming",NULL,0
488,"Breathability",NULL,0
489,"799",NULL,0
490,"Cons",NULL,0
491,"Rated Number 1 On Consumer Reports",NULL,0
492,"Name Price Not Given",NULL,0
493,"Easy To Use And Install",NULL,0
494,"Consumer Reports #1",NULL,0
495,"Complaint About Cleaning 3 Star",NULL,0
496,"Size Is Big",NULL,0
497,"Highest Safety Rating",NULL,0
498,"Very Bulky",NULL,0
499,"Big",NULL,0
500,"Tight Fit In Civic",NULL,0
501,"Seat Breaths For Child Comfort",NULL,0
502,"Difficult To Install Rear Facing",NULL,0
503,"Gigantic And Difficult To Install",NULL,0
504,"Megapixel",NULL,0
505,"Lens Typ",NULL,0
506,"Newcomers To DSLR",NULL,0
507,"Saving Money On Lenses",NULL,0
508,"Monitor",NULL,0
509,"Speed & Performance",NULL,0
510,"Light",NULL,0
511,"Lens Us",NULL,0
512,"18 Mp ",NULL,0
513,"Lens Lif Amature",NULL,0
514,"\"best You Can Get For The Money\"",NULL,0
515,"18 MP Stills",NULL,0
516,"Low Cost",NULL,0
517,"16.2 Megapixel",NULL,0
518,"Great Zoom In",NULL,0
519,"User Friend",NULL,0
520,"Mostly Same Features As T2i",NULL,0
521,"Auto-mode Pictures Not Best Quality",NULL,0
522,"Mediocre Battery Life",NULL,0
523,"Low LCD Screen Res",NULL,0
524,"Noisy Lens",NULL,0
525,"Easy To Operate Layout Of Buttons Compared To T2i",NULL,0
526,"Guide Mode Seems Helpful",NULL,0
527,"Slow Autofocus On LCD",NULL,0
529,"Usage",NULL,0
530,"Options",NULL,0
531,"Driver Safety",NULL,0
532,"Slightly Difficult To Install",NULL,0
533,"Material Quality",NULL,0
534,"Material Scratches Easily On Velcro Shoes",NULL,0
535,"Customer Service Replaced Scratched  Cover Free",NULL,0
537,"Introductions Make Difficult Installation Easier",NULL,0
538,"Baby Safety",NULL,0
539,"Roominess",NULL,0
540,"Very Large",NULL,0
541,"Difficult To Clean",NULL,0
542,"Size Make Rear Facing An Issue In Some Cars",NULL,0
543,"Wings Support Head",NULL,0
544,"Nice Fabric",NULL,0
545,"Padding Inadequate In Some Places",NULL,0
546,"Sun Visor Large And Ineffective ",NULL,0
548,"Audio",NULL,0
632,"Deal",NULL,0
631,"Attribute",NULL,0
629,"Lens",NULL,4001
628,"Performance",NULL,4031
627,"Sway",NULL,4031
624,"Lens Kit",NULL,4009
620,"Uses",NULL,4007
619,"Money",NULL,4009
617,"Blank",NULL,1743
998,"LCD Screens",NULL,1743
606,"Duration",NULL,0
577,"Displa",NULL,0
576,"547",NULL,0
635,"AE",NULL,0
636,"Italics",NULL,0
637,"Trial",NULL,0
638,"HDMI",NULL,0
1000,"Megapixels",NULL,1743
644,"User-friendliness And Functionality",NULL,4019
650,"Low Light AF",NULL,4019
652,"Autofocus/zoom",NULL,4011
653,"Taking Wide Angle Pictures",NULL,4015
655,"Taking Live Pictures",NULL,4015
657,"Accessories",NULL,4017
658,"Durability And Size",NULL,4019
660,"Slow Motion Video",NULL,4011
661,"Zooming Autofocus",NULL,4013
663,"Additional Info",NULL,4017
665,"Autofocus/low Light",NULL,4011
666,"Comparison",NULL,4017
669,"MP",NULL,4013
671,"Kit Lens",NULL,4019
673,"Video",NULL,4019
675,"Manual Focus/video",NULL,4011
676,"Good For Motion Pictures",NULL,4015
677,"AF",NULL,4019
678,"Smaller Sensor",NULL,4019
681,"Customer Review 4/5",NULL,4013
682,"Low Light Shooting",NULL,4019
683,"Video Zoom",NULL,4011
684,"Continuous Mode",NULL,4015
685,"Point And Shoot",NULL,4017
686,"Auto Lens Mode",NULL,4011
687,"Automode And Point",NULL,4013
688,"Expensive Memory Card Required",NULL,4019
689,"Modes",NULL,4011
692,"Auto ISO",NULL,4019
693,"Lcd",NULL,4011
694,"New User",NULL,4017
695,"Noises",NULL,4011
696,"Guide Mode",NULL,4013
698,"Holding Camera In Awkward Positions",NULL,4015
699,"Good For Carrying Around",NULL,4015
700,"Low Res LCD",NULL,4019
704,"Carrying Around For A Long Time",NULL,4015
706,"Lens Price",NULL,4013
707,"For Armature Photographers And Beginners",NULL,4015
709,"Taking Easy Pictures",NULL,4015
710,"Taking Videos",NULL,4015
717,"Straps",NULL,4018
718,"Head Rest",NULL,4012
720,"Rating",NULL,4018
721,"Ratings",NULL,4012
722,"Snug Fit",NULL,4012
727,"Bulk",NULL,4012
728,"Adjusting While Facing Rear",NULL,4012
732,"Support",NULL,4011
734,"Installatin",NULL,4018
739,"Quality And Price",NULL,4020
740,"Sun Visor",NULL,4012
742,"Comfortable And Safe",NULL,4020
743,"Extra Base",NULL,4012
744,"Weight Limit",NULL,4012
745,"Padding",NULL,4012
747,"Visor",NULL,4018
748,"High Weight Limit",NULL,4020
751,"Rear Facing Fit",NULL,4012
753,"Washability",NULL,4012
759,"Size In Smaller Cars",NULL,4014
760,"Safe And Comfortable",NULL,4020
762,"Adjust In Rear Facing",NULL,4014
763,"Smaller Size ",NULL,4014
764,"Recline",NULL,4014
766,"Seat Padding",NULL,4014
768,"Spacious",NULL,4016
770,"Not Blocking The View",NULL,4016
772,"Affordability",NULL,4016
774,"Comfortable Texture",NULL,4016
775,"Adjustable Position",NULL,4016
776,"Quick And Easy Installation",NULL,4016
777,"Holding A Baby",NULL,4016
778,"Sun Screening",NULL,4016
779,"Getting The Base In A Level Position",NULL,4016
780,"Not Sure About The Weight Limit",NULL,4016
781,"Convenient For Holding Cups",NULL,4016
782,"Cleaning The Seat",NULL,4016
783,"Suitable For Babies Of A Wide Age Range",NULL,4016
784,"Memory Card",NULL,4040
785,"Higher Cost",NULL,4034
786,"Improved Default Lens",NULL,4036
788,"Upgrades Lens If Beginner DSLR",NULL,4034
791,"Overall Use And Picture/video Capability",NULL,4034
793,"Cost",NULL,4038
795,"Flash Performance",NULL,4036
797,"Auto Focus For Video",NULL,4038
798,"Automatic Built In Flash ",NULL,4034
799,"Slow Focus",NULL,4038
800,"Needs Uv Filter",NULL,4038
801,"Angle Settings Can Create Shade",NULL,4034
802,"User Interface",NULL,4036
803,"Awesome Camera",NULL,4032
804,"Needed Accessories",NULL,4034
807,"Excellent Still Photos Compared To Competitors",NULL,4034
808,"Extra Features",NULL,4036
809,"Audio Recording Level Adjust",NULL,4038
810,"High Definition",NULL,4036
812,"Frequent Delays",NULL,4038
813,"Attribute- Saving In 2 Forms Till Used To Camera",NULL,4034
814,"Right Hand Grip",NULL,4038
816,"Neck Strap",NULL,4038
817,"Beginner DSLR",NULL,4036
818,"Attribute- Pixel And Grain Makeup",NULL,4034
821,"For Any Photographer",NULL,4038
822,"Design And Overall Weight",NULL,4034
824,"Hdmi Input But No Cable Included",NULL,4038
825,"Attribute- Quick Auto Focus",NULL,4034
826,"Warranty Service",NULL,4038
829,"Autofocus SLOW",NULL,4038
831,"Loud Autofocus Motors",NULL,4038
835,"Attribute- Ergonomic Design",NULL,4034
837,"Worthwhile Price ",NULL,4034
840,"Fast Auto Focus",NULL,4038
841,"Noisey Lens",NULL,4038
844,"Fits Snug",NULL,4033
845,"Head Neck Support",NULL,4033
846,"Soft Comfy",NULL,4033
847,"Holds Up To 65 Lbs",NULL,4033
848,"Intuitive Controls",NULL,4036
850,"Auto-focus",NULL,4036
851,"Manual Focus",NULL,4036
858,"Attribute- Design",NULL,4034
886,"Warranty",NULL,4037
861,"Overall Design Of Product",NULL,4034
864,"Safety Rating",NULL,4035
867,"Lots Of Room",NULL,4039
870,"Attribute- Easy Child Placement/removal",NULL,4035
871,"A Little Difficult To Install",NULL,4039
872,"Fabric Wears Easily",NULL,4039
873,"Company Sent Woman New Cover Free",NULL,4039
874,"Dimension- Weight Capability",NULL,4035
878,"Fits Well In Cars",NULL,4039
880,"Attribute- Quick Installation",NULL,4035
881,"Padded Well",NULL,4039
882,"Quality- Difficult To Clean",NULL,4035
883,"Material Easy To Clean",NULL,4039
885,"Seat Material",NULL,4037
890,"Easy Set Up",NULL,4039
892,"Sleeping",NULL,4039
893,"Had To Face Forward Because Of Size",NULL,4039
894,"Head Rest Does Not Come Off",NULL,4039
896,"Well Made",NULL,4039
897,"Head Support Cushion",NULL,4039
898,"Soft Material",NULL,4039
899,"Crash Tested",NULL,4039
900,"Sun  Visor Is Mesh",NULL,4039
902,"No Padding In Seat",NULL,4039
904,"Built-in Flash",NULL,4050
953,"Poor Battery Life",NULL,4048
907,"First DSLR",NULL,4044
910,"Previous Research Reassuring",NULL,4046
911,"True To Ad",NULL,4046
912,"Lens Quality",NULL,4044
914,"Equipment",NULL,4044
917,"Not Needing To Change Lenses",NULL,4048
918,"No Auto Focus",NULL,4048
919,"Saving money",NULL,4046
924,"\"Better\" Quality Cameras And Price",NULL,4044
929,"Grip",NULL,4046
930,"Delays In Taking Photos",NULL,4048
934,"CONS - Battery",NULL,4044
935,"CONS - Wireless",NULL,4044
936,"Delivery Speed",NULL,4046
937,"Cons- Screen ",NULL,4044
938,"Being User Friendly",NULL,4048
940,"Auto Shoot Quality",NULL,4046
942,"Flip Around Screen For Different Positions",NULL,4048
947,"Unclear Shots",NULL,4048
948,"USE- Battery",NULL,4044
950,"Pixels",NULL,4042
951,"Very Fast Auto Shooting",NULL,4048
960,"Easy To Use When Reading Instructions",NULL,4049
961,"Headrest Is Removable",NULL,4049
964,"View Of Driver",NULL,4045
966,"Larger Car Seat",NULL,4049
970,"Seat Cover Quality",NULL,4045
972,"Company Customer Service",NULL,4045
974,"Adjusting Strap Length In Rear Position",NULL,4049
975,"Big Car Seat",NULL,4049
978,"Rear Facing",NULL,4049
980,"Efficiency ",NULL,4045
981,"Not Removable",NULL,4049
982,"Reasonable Price",NULL,4049
983,"Head/neck Support",NULL,4049
984,"No Padding Where Baby Sits",NULL,4049
991,"Reclination",NULL,4043
992,"Base",NULL,4043
995,"Room",NULL,4043
1187,"User",NULL,4072
1009,"Cost Analysis",NULL,4054
1013,"Cosr",NULL,4054
1018,"Controls",NULL,4054
1019,"Perf",NULL,4054
1022,"Change Lens",NULL,4056
1026,"Live Picture Mode Slow",NULL,4056
1036,"Fast Continuous Mode",NULL,4056
1037,"Overall",NULL,4052
1038,"External",NULL,4054
1040,"No Instant Response",NULL,4056
1042,"Picture",NULL,4052
1044,"Articulated LCD Screen",NULL,4056
1045,"7D",NULL,4058
1046,"No Travel Type Charger",NULL,4056
1048,"View Finder",NULL,4058
1066,"Installation And Others",NULL,4055
1050,"Right-hand Grip",NULL,4058
1051,"Fits Easy On Tripod",NULL,4056
1053,"Ergonomics",NULL,4052
1054,"Firm Grip",NULL,4058
1055,"No Cable For HDMI Input",NULL,4056
1058,"Video Manual Focus",NULL,4058
1059,"18-135 Lens Large",NULL,4056
1060,"Dedicated Iso Button",NULL,4056
1061,"Pictures",NULL,4052
1062,"Very Sturdy ",NULL,4058
1064,"Auto Mode Not Good Quality Pictures",NULL,4056
1071,"Comf",NULL,4055
1073,"Poor Quality Material",NULL,4057
1074,"Well Padded",NULL,4057
1078,"Revie",NULL,4055
1079,"Baby Can See Out Windows",NULL,4057
1080,"One Day Delivery",NULL,4057
1081,"Comfo",NULL,4055
1087,"Infant Acceptance",NULL,4053
1088,"Comfortability",NULL,4053
1096,"Convenience",NULL,4053
1099,"Control And Functionality",NULL,4062
1103,"Suggestions",NULL,4062
1104,"Variability",NULL,4062
1108,"Responsiveness",NULL,4062
1112,"Functionality",NULL,4062
1116,"Shutter",NULL,4068
1118,"Body",NULL,4068
1119,"Model Name",NULL,4066
1122,"Aut Mode",NULL,4068
1125,"Video Speed",NULL,4064
1129,"Autofocus Zoom",NULL,4064
1131,"Focus Auto Zoom",NULL,4064
1164,"Overall Review",NULL,4067
1140,"Expertise",NULL,4064
1158,"Featuures",NULL,4069
1161,"Size Of Car Seat",NULL,4067
1166,"Mesh Does Not Block Sun",NULL,4067
1167,"Padding Protection",NULL,4067
1168,"Install Time",NULL,4067
1171,"Adjustable",NULL,4065
1172,"Size For Vehicle",NULL,4065
1176,"Size For Veh",NULL,4065
1179,"Delivery",NULL,4065
1181,"Size For Ve",NULL,4065
1184,"Size For V",NULL,4065
1185,"Confort",NULL,4065
1189,"Hivemind",NULL,4072
1191,"Feature Comparison",NULL,4072
1192,"Features Comparison",NULL,4072
1193,"User Credibility",NULL,4072
1194,"User Comparison",NULL,4072
1195,"User Opinion",NULL,4072
1196,"Usage/Stability",NULL,4074
1201,"Flash, Lense",NULL,4074
1202,"Beginner Experience",NULL,4074
1203,"Lighting",NULL,4074
1205,"T2 Better Than T3",NULL,4074
1208,"Usage/Value",NULL,4074
1210,"Usage, Value",NULL,4074
1225,"Child Comfort",NULL,4075
1227,"Safety, Child Comfort",NULL,4075
1228,"Installation (Ease Of Use)",NULL,4075
1230,"Stills",NULL,0
1232,"Happiness With One Over Other",NULL,0
1233,"Value/Price",NULL,0
1234,"Audience",NULL,0
1235,"HDMI Capability",NULL,0
1236,"Automodes",NULL,0
1237,"Usability ",NULL,0
1238,"Usability Overall",NULL,0
1241,"Customer Satisfaction",NULL,0
1242,"Satisfaction",NULL,0
1243,"Instructions",NULL,0
1244,"Adaptability ",NULL,0
1245,"Sum Of Negatives",NULL,0
1246,"Camera Body",NULL,0
1247,"T2 Vs T3",NULL,0
1248,"Develop Over Time",NULL,0
1249,"Macro",NULL,0
1250,"Video Zoom External Flash",NULL,0
1251,"Too High ISO ",NULL,0
1253,"Sum Advantages",NULL,0
1256,"Live Picture",NULL,0
1255,"Guide",NULL,0
1258,"Price Value",NULL,0
1263,"Battery Charge",NULL,0
1264,"Batter",NULL,0
1265,"Model",NULL,0
1266,"T2i",NULL,0
1267,"Ergonomic Arrangement",NULL,0
1268,"SLR",NULL,0
1269,"T3i",NULL,0
1270,"Subject",NULL,0
1271,"D5100",NULL,0
1273,"Recommendations",NULL,0
1275,"Maintenance",NULL,0
1276,"Comfort Safety",NULL,0
1277,"Install Use",NULL,0
1280,"Ease Of Acess",NULL,0
1281,"Attachments",NULL,0
1282,"Target user type",NULL,0
1286,"External Flash",NULL,0
1288,"Learning",NULL,0
1289,"Britax Car Seats",NULL,0
1291,"Instal",NULL,0
1292,"Smaller Cars",NULL,0
1293,"Car Seat",NULL,0
1295,"Infant Car Seat",NULL,0
1296,"Security",NULL,0
1299,"Clean",NULL,0
1298,"Seat",NULL,0
1300,"F",NULL,0
