Label	Clip
Size	The seat is gigantic.  When rear facing it would only fit in one postion in my car. I currently live in Japan where my hubby is currently stationed with the USMC.  We drive a large van similar to the old Chevy Astro van.  This seat would onlt fit in the 2nd row in the middle seating position so that it came up almost through the 2 front seats.  I doubt this seat would fit into any other position in any car.  My other con is that it was extremely difficult to install it rear facing. Between my 3 kids Ive been through about 6 different convertible car seats in the past 8 years and this one was by far the most difficult to install rear facing with the vehicle belt.  At one point or another Ive had to install all of my previous car seats rear facing with the vehicle belt.  The instructions say to lift the seat pad when threading the belt through which I did but then once the seat was installed I couldnt get the pad back down over the seat where it was against the seat back of the actual vehicle seat.  So I had to uninstall it and reinstall it with the pad in its proper place making it very difficult to do.
Size	It is so easy to use and install   Bonus- its wallet friendly and in this economy who wouldnt want to save a buck on a great product 
Size	My son fits comfortably in it and has so much room verses his carrier car seat we brought him home in
Size	Unfortunately we had to turn them forward facing before their second birthday because they did not fit backwards
Size	Tight fit but does the job its supposed to do.
Size	Yes it is a big car seat but safety was my number one priority when upgrading to a toddler car seat so I dont mind the bulk. I love that we can keep the seat rear facing up to 40 lbs now that the AAPs new recommendation is to wait till age 2 this seat makes it easy to do so.
Size	light weight and fits well in the middle seat in my midsize infiniti. However I could not put it behind the drivers seat when my 510  husband drives. Not really an issue since the middle is the safest position.
Size	Very bulky. They fit fine in my odyssey mini van but not in my ford focus rear facing. Forward facing they fit in the smaller car ok.
Size	The size is pretty big not really an issue for me but it could be in some of the smaller cars out there although it does fit just fine in my husbands Elantra and that isnt a huge car.
Size	I drive a Hyundai Sonata so we have decent room in my car for the seat but weve also put it in a friends four runner and my husbands Elantra and it has fit really well in all cars.
Size	work for newborns
Size	we can keep the seat rear facing up to 40 lbs now that the AAPs new recommendation is to wait till age 2 this seat makes it easy to do so.
Size	The Air Protect only holds a child up to 50lbs.
Size	  The seat holds a child up to 65lbs 
Size	Comfortable for kids from infant to toddler
Size	Big enough for a toddler
Size	It is bigger than a lot of other car seats out there but I also feel like it is really well constructed and pretty comfy. 
Size	Although the seat is big which I love I was able to fit it easily and securely in the back of my Nissan Sentra. As for sleeping my little ones head did not hang over once.
Size	The size is pretty big not really an issue for me but it could be in some of the smaller cars out there although it does fit just fine in my husbands Elantra and that isnt a huge car. 
Size	 its a very tight space to use the light blue head rests shown in the listing picture.
Size	light weight and fits well in the middle seat in my midsize infiniti.
Size	The size is pretty big
Size	It is side crash tested and the base is adjustable you can recline it at 3 different levels.
Size	We started shopping around and figure that a 17in. wide infant car seat will do.  I believe this is the only one that fits our need.
Size	Very bulky. They fit fine in my odyssey mini van but not in my ford focus rear facing. Forward facing they fit in the smaller car ok.
Size	Install was exteremly easy and it fit well in both of our cars
Size	Safety is obviously my primary concern and this car seat fits really snugly in my car and doesnt move around.
Size	 head rest is removable which does not block my view since he is still small
Size	t is a big car seat
Size	The size is pretty big
Size	The seat is gigantic
Size	The seat is gigantic.
Size	Big enough for a toddler
Size	I drive a Hyundai Sonata so we have decent room in my car for the seat but weve also put it in a friends four runner and my husbands Elantra and it has fit really well in all cars
Size	The size is pretty big not really an issue for me but it could be in some of the smaller cars out there
Size	Very bulky. They fit fine in my odyssey mini van but not in my ford focus rear facing. Forward facing they fit in the smaller car ok.
Size	Yes it is a big car seat but safety was my number one priority when upgrading to a toddler car seat so I dont mind the bulk.
Size	ight fit but does the job its supposed to do.
Size	The seat is gigantic
Size	Unfortunately we had to turn them forward facing before their second birthday because they did not fit backwards.
Size	bigger 
Size	Now for the cons.  The seat is gigantic. 
Size	it has fit really well in all cars.
Size	fits just fine.
Size	17in. wide infant car seat
Size	gigantic
Size	It is as many have explained before a little small as I was used to the bigger and heavier 20D body but I guess is just a matter of getting used to it.
Size	fits really snugly in my car and doesnt move around.
Size	Big enough for a toddler
Size	Very bulky. They fit fine in my odyssey mini van but not in my ford focus rear facing. Forward facing they fit in the smaller car ok.
Size	light weight and fits well in the middle seat
Size	Fit my newborns head with the extra cushion that came with it.
Size	 with the side impact shaping its a very tight space to use the light blue head rests
Size	we can keep the seat rear facing up to 40 lbs
Size	Im sure this is safe enough but I wouldnt want it as an infant seat . . . too inconvenient
Size	My son fits comfortably in it and has so much room
Size	Very bulky.
Size	 with the side impact shaping its a very tight space to use the light blue head rests 
Size	Yes it is a big car seat but safety was my number one priority when upgrading to a toddler car seat so I dont mind the bulk.
Size	Tight fit but does the job its supposed to do. 
Size	Unfortunately we had to turn them forward facing before their second birthday because they did not fit backwards. 
Size	difficult to install rear facing with the vehicle belt
Size	Very bulky. They fit fine in my odyssey mini van but not in my ford focus rear facing. Forward facing they fit in the smaller car ok.Catch a lot of stuff under the paddingCant adjust strap length while in rear facing position. This is most frustrating but not often an issue.
Size	The size is pretty big not really an issue for me but it could be in some of the smaller cars out there
Size	The seat is gigantic.
Size	Light weight great body design. Even with my bigger hands I can handle the camera with comfortability
Size	too inconvenient.
Size	The seat is gigantic.
Size	igure that a 17in. wide 
Size	Very bulky
Size	The size is pretty big not really an issue for me but it could be in some of the smaller cars out there although it does fit just fine in my husbands Elantra and that isnt a huge car.
Size	Very bulky.
Size	it is a big car seat
Size	it is a big car seat
Size	Awesome but a little big
Size	The seat is gigantic
Size	 the biggest is this darn sun visor
Size	The size is pretty big
Size	 size is pretty big
Size	Very bulky
Size	The size is pretty big
Size	 it is a big car seat
Size	Very bulky.
Size	Honda Civic so it was a little tricky to get it in. Tight fit
Size	light weight 
Size	The seat is gigantic
Size	e seat is big wh
Size	The seat is gigantic.  
Size	Now for the cons.  The seat is gigantic
Size	Very bulky
Size	The seat is gigantic
Size	We are able to use our Britax Marathon a Graco booster and this infant car seat all in one row.
Size	The size is pretty big
Size	It is a big seat especially rear facing
Size	This seat would onlt fit in the 2nd row in the middle seating position
Size	While it is very large the middle section is made of mesh.
Size	Yes it is a big car seat but safety was my number one priority when upgrading to a toddler car seat so I dont mind the bulk.
Size	  The size is pretty big not really an issue for me but it could be in some of the smaller cars out there although it does fit just fine in my husbands Elantra and that isnt a huge car.
Size	It is bigger than a lot of other car seats out there but I also feel like it is really well constructed and pretty comfy.
Size	light weight and fits well in the middle seat in my midsize infiniti. However I could not put it behind the drivers seat when my 510  husband drives. Not really an issue since the middle is the safest position.
Size	Yes it is a big car seat but safety was my number one priority when upgrading to a toddler car seat so I dont mind the bulk.
Size	Although the seat is big which I love I was able to fit it easily and securely in the back of my Nissan Sentra.
Size	The seat is gigantic
Size	Big enough for a toddler
Size	The size is pretty big
Size	the seat is big
Size	Additionally with the side impact shaping its a very tight space to use the light blue head rests
Size	#N/A
Size	The seat is gigantic
Size	light weight and fits well in the middle seat in my midsize infiniti. 
Size	Very bulky.
Size	it is a big car seat
Size	Although the seat is big
Size	The seat is gigantic
Size	Very bulky. They fit fine in my odyssey mini van but not in my ford focus rear facing. Forward facing they fit in the smaller car ok.
Size	Somewhat Compact size
Size	The size is pretty big not really an issue for me but it could be in some of the smaller cars out there although it does fit just fine in my husbands Elantra and that isnt a huge car
Size	It is bigger than a lot of other car seats out there
Size	The size is pretty big
Size	Yes it is a big car seat but safety was my number one priority when upgrading to a toddler car seat so I dont mind the bulk.
Size	Tight fit but does the job its supposed to do.
Size	Although the seat is big which I love I was able to fit it easily and securely in the back of my Nissan Sentra.
Size	The seat is gigantic.
Size	light weight and fits well in the middle seat in my midsize infiniti.
Size	Big enough for a toddler
Size	The size is pretty big
Size	Catch a lot of stuff under the padding
Size	The Air Protect only holds a child up to 50lbs.
Size	so I dont mind the bulk
Size	While it is very large the middle section is made of mesh.
Size	Somewhat Compact size
Size	The size is pretty big not really an issue for me but it could be in some of the smaller cars out there although it does fit just fine in my husbands Elantra and that isnt a huge car.
Size	Very bulky.
Size	Yes it is a big car seat but safety was my number one priority when upgrading to a toddler car seat so I dont mind the bulk.
Size	.  The size is pretty big not really an issue for me but it could be in some of the smaller cars out there although it does fit just fine in my husbands Elantra and that isnt a huge car.
Size	  It is a big seat especially rear facing
Size	light weight and fits well in the middle seat in my midsize infiniti.
Size	 it is a big car seat
Size	It is bigger than a lot of other car seats out there but I also feel like it is really well constructed and pretty comfy
Size	Very bulky.
Size	Big enough for a toddler
Size	The size is pretty big not really an issue for me but it could be in some of the smaller cars out there although it does fit just fine in my husbands Elantra and that isnt a huge car.
Size	 a high rear facing weight and height limit.  It is so high in fact that my 3 1/2 year old would still be able to be rear facing in this seat.
Size	the next problem I encountered was trying to get the correct extra base.
Size	it has fit really well in all cars.
Size	Very bulky. They fit fine in my odyssey mini van but not in my ford focus rear facing. Forward facing they fit in the smaller car ok.
Size	 it is a big car seat but safety was my number one priority when upgrading to a toddler car seat so I dont mind the bulk.
Size	but I wouldnt want it as an infant seat . . . too inconvenient.
Size	Now for the cons.  The seat is gigantic.
Size	This car seat is very easy to get baby in and out of is nice and heavy very durable and I love that it has a higher weight limit as well.
Size	  The seat is gigantic.
Size	It is as many have explained before a little small
Size	ConsVery bulky. They fit fine in my odyssey mini van but not in my ford focus rear facing. Forward facing they fit in the smaller car ok.Catch a lot of stuff under the paddingCant adjust strap length while in rear facing position. This is most frustrating but not often an issue.
Size	 it is a big car seat 
Size	  It is a big seat especially rear facing. 
Size	The seat is gigantic.
Size	The size is pretty big not really an issue for me but it could be in some of the smaller cars out there although it does fit just fine in my husbands Elantra and that isnt a huge car.
Size	Big enough for a toddler
Size	Very bulky.
Size	a big car seat
Size	Her car is a Honda Civic so it was a little tricky to get it in. Tight fit but does the job its supposed to do.
Size	Although the seat is big which I love I was able to fit it easily and securely in the back of my Nissan Sentra.
Size	he seat is gigantic.  When rear facing it would only fit in one postion in my car
Size	light weight and fits well in the middle seat in my midsize infiniti. However I could not put it behind the drivers seat when my 510  husband drives.
Size	  It is bigger than a lot of other car seats out there but I also feel like it is really well constructed and pretty comfy.
Size	  The size is pretty big not really an issue for me but it could be in some of the smaller cars out there
Size	It is a big seat especially rear facing.
Size	The seat is gigantic.
Size	  The size is pretty big not really an issue for me but it could be in some of the smaller cars out there although it does fit just fine in my husbands Elantra and that isnt a huge car.
Size	ConsVery bulky. They fit fine in my odyssey mini van but not in my ford focus rear facing. Forward facing they fit in the smaller car ok.Catch a lot of stuff under the paddingCant adjust strap length while in rear facing position. This is most frustrating but not often an issue.
Size	Although the seat is big which I love I was able to fit it easily and securely in the back of my Nissan Sentra. As for sleeping my little ones head did not hang over once.
Size	  When rear facing it would only fit in one postion in my car. I currently live in Japan where my hubby is currently stationed with the USMC
Size	r seat is very easy to get baby in and out of is nice and heavy very durable and I love that it has a higher weight limit as well. This also has very nice fabric thats soft to the touch and the buckle system is heavy duty and easy to use as well.
Size	  The size is pretty big
Size	  It is bigger than a lot of other car seats out there but I also feel like it is really well constructed and pretty comfy.
Size	ProsBig enough for a toddlerEasy to installComfortable for kids from infant to toddlerNo thread adjustable straps
Size	ConsVery bulky. They fit fine in my odyssey mini van but not in my ford focus rear facing. Forward facing they fit in the smaller car ok.Catch a lot of stuff under the paddingCant adjust strap length while in rear facing position. This is most frustrating but not often an issue.
Size	 Yes it is a big car seat but safety was my number one priority when upgrading to a toddler car seat so I dont mind the bulk. I love that we can keep the seat rear facing up to 40 lbs now that the AAPs new recommendation is to wait till age 2 this seat makes it easy to do so.
Size	 Her car is a Honda Civic so it was a little tricky to get it in. Tight fit but does the job its supposed to do. 
Size	I dont know if anyone else feels this way but trying to install a car seat is just the worst task ever. The process here was like a dream brought to life. The instructions were simple and there was no wondering whether or not you got it right. Although the seat is big which I love I was able to fit it easily and securely in the back of my Nissan Sentra.
Size	Now for the cons.  The seat is gigantic.  When rear facing it would only fit in one postion in my car.
Size	light weight and fits well in the middle seat in my midsize infiniti. However I could not put it behind the drivers seat when my 510  husband drives. Not really an issue since the middle is the safest position.
Size	This car seat is very easy to get baby in and out of is nice and heavy very durable and I love that it has a higher weight limit as well. This also has very nice fabric thats soft to the touch and the buckle system is heavy duty and easy to use as well. Overall a very nice car seat for the price.
Size	light weight and fits well in the middle seat in my midsize infiniti.
Size	 But to much of my suprise the True Fit convertable car seat is amazing. My son fits comfortably in it and has so much room verses his carrier car seat we brought him home in. I read reviews that it was difficult to install in car but it was easy if you read the instructions.
Size	I have a 2003 Maxima which has a slight bump in the middle
Size	I drive a Hyundai Sonata so we have decent room in my car for the seat but weve also put it in a friends four runner and my husbands Elantra and it has fit really well in all cars.  It is bigger than a lot of other car seats out there but I also feel like it is really well constructed and pretty comfy.
Size	ConsVery bulky. They fit fine in my odyssey mini van but not in my ford focus rear facing. Forward facing they fit in the smaller car ok.Catch a lot of stuff under the paddingCant adjust strap length while in rear facing position. This is most frustrating but not often an issue.
Size	We love these carseats.  It is a big seat especially rear facing.  We have a Sienna mini van and we had them both on the bench seat.  Unfortunately we had to turn them forward facing before their second birthday because they did not fit backwards.
Size	Somewhat Compact sizeEase of use
Size	Now for the cons.  The seat is gigantic.  When rear facing it would only fit in one postion in my car
Size	is gigantic.
Size	I drive a Hyundai Sonata so we have decent room in my car for the seat but weve also put it in a friends four runner and my husbands Elantra and it has fit really well in all cars.
Size	The size is pretty big not really an issue for me but it could be in some of the smaller cars out there
Size	  I love that this seat has such a high rear facing weight and height limit.  It is so high in fact that my 3 1/2 year old would still be able to be rear facing in this seat.
Size	I love that we can keep the seat rear facing up to 40 lbs now that the AAPs new recommendation is to wait till age 2 this seat makes it easy to do so.
Size	The size is pretty big
Size	Big enough for a toddler
Size	Very bulky.
Size	Somewhat Compact sizeEase of use
Size	Big enough for a toddlerEasy to install
Size	Big enough for a toddler
Size	Comfortable for kids from infant to toddler
Size	The size is pretty big
Size	Very bulky. They fit fine in my odyssey mini van but not in my ford focus rear facing. Forward facing they fit in the smaller car ok.
Size	  The size is pretty big not really an issue for me but it could be in some of the smaller cars out there although it does fit just fine in my husbands Elantra and that isnt a huge c
Size	  The seat is gigantic.  When rear facing it would only fit in one postion in my car. I currently live in Japan where my hubby is currently stationed with the USMC. 
Speed	Very fast auto focus on shooting.
Speed	Auto focus in  live view  mode seeing through the lcd instead of the viewfinder is extremely slow.
Speed	adds frequent and unpredictable delays when  busy  flashes in the viewfinder and the red light is on -- even in continuous mode
Speed	you can press the shutter and the camera will instantly take a picture
Speed	Auto focus in  live view  mode seeing through the lcd instead of the viewfinder is extremely slow. Makes me not ever wanting to use it.
Speed	adds frequent and unpredictable delays when  busy  flashes in the viewfinder and the red light is on -- even in continuous mode.
Speed	T2i is the one I will keep.  Why
Speed	I bought the T2i first then decided to upgrade to the T3i.  For a period of two weeks I had both cameras in my possession so I could make a direct comparison and decided hands-down that the T2i is the one I will keep.
Speed	Slower than T2i 
Speed	T2i is FAST
Speed	3.7 max burst rate not very fast
Speed	I bought the T2i first then decided to upgrade to the T3i.  For a period of two weeks I had both cameras in my possession so I could make a direct comparison and decided hands-down that the T2i is the one I will keep.  Why
Speed	Fast start up speed 
Speed	Slower than T2i 
Speed	Slower than T2i 
Speed	turns on in about 1 second
Speed	It is GREAT for skate/surf video because of its 60fps mode.
Speed	Fast start up speed 
Speed	Focus in live picture mode is slow
Speed	The T3i however adds frequent and unpredictable delays when  busy  flashes in the viewfinder and the red light is on -- even in continuous mode.
Speed	FAST
Speed	The T2i is FAST
Speed	frequent and unpredictable delays
Speed	I bought the T2i first then decided to upgrade to the T3i.  For a period of two weeks I had both cameras in my possession so I could make a direct comparison and decided hands-down that the T2i is the one I will keep.  Why
Speed	3.7 max burst rate not very fast at all
Speed	decided hands-down that the T2i is the one I will keep.  Why
Speed	The T3i however adds frequent and unpredictable delays when  busy  flashes in the viewfinder and the red light is on -- even in continuous mode.
Speed	Slower than T2i
Speed	  Compared to the instant responsiveness of the T2i this was plain annoying and caused me to miss numerous shots. 
Speed	For a period of two weeks I had both cameras in my possession so I could make a direct comparison and decided hands-down that the T2i is the one I will keep.  Why
Speed	I used the same exact settings on both cameras large Jpeg P-mode Quick AF.  Compared to the instant responsiveness of the T2i this was plain annoying and caused me to miss numerous shots.  I used the same class 10 SDHC chip in both cameras but -- this is interesting -- even without any memory chip in the camera the delays are still there.
Speed	T3i however adds frequent and unpredictable delays when  busy  flashes in the viewfinder and the red light is on -- even in continuous mode.
Speed	FULL HD VIDEO RECORDING60fps HD Recording AMAZING slow motion Manual video controlsMic input18MP Stills  best for the money competitors are usually 16MPBuilt in image stabilizer 18-55mm lensSomewhat Compact sizeEase of useFast start up speed I have caught videos with this camera seconds away from missing a fast moving skate turns on in about 1 secondPRICE since the T3i came out this camera is going down in price but essentially is the same camera as the T3i
Speed	I used the same exact settings on both cameras large Jpeg P-mode Quick AF.  Compared to the instant responsiveness of the T2i this was plain annoying and caused me to miss numerous shots.  I used the same class 10 SDHC chip in both cameras but -- this is interesting -- even without any memory chip in the camera the delays are still there.
Speed	not very fast at all
Speed	Slower than T2i
Speed	The T2i is FAST
Speed	The T3i however adds frequent and unpredictable delays when  busy  flashes in the viewfinder and the red light is on -- even in continuous mode.
Speed	Focus in live picture mode is slow 
Speed	Fast start up speed I have caught videos with this camera seconds away from missing a fast moving skate turns on in about 1 second
Speed	3.7 max burst rate not very fast at all
Speed	The T2i is FAST
Speed	Auto focus in  live view  mode seeing through the lcd instead of the viewfinder is extremely slow
Speed	Very fast auto focus on shooting
Speed	not very fast at all
Speed	Slower than T2i
Speed	The T2i is FAST.  I shoot my toddler in continuous mode and the camera delivers the 3.7 fps its supposed to.  It makes a huge difference knowing you can press the shutter and the camera will instantly take a picture.  The T3i however adds frequent and unpredictable delays when  busy  flashes in the viewfinder and the red light is on -- even in continuous mode.
Speed	Very fast auto focus on shooting.
Speed	The T3i however adds frequent and unpredictable delays when  busy  flashes in the viewfinder and the red light is on -- even in continuous mode.
Speed	  The T3i however adds frequent and unpredictable delays when  busy  flashes in the viewfinder and the red light is on -- even in continuous mode.
Speed	Fast start up speed
Speed	I bought the T2i first then decided to upgrade to the T3i.  For a period of two weeks I had both cameras in my possession so I could make a direct comparison and decided hands-down that the T2i is the one I will keep.  Why
Speed	The T3i however adds frequent and unpredictable delays when  busy  flashes in the viewfinder and the red light is on -- even in continuous mode.
Speed	Compared to the instant responsiveness of the T2i this was plain annoying and caused me to miss numerous shots
Speed	Very fast auto focus on shooting
Speed	Very fast auto focus on shooting.
Speed	I used the same exact settings on both cameras large Jpeg P-mode Quick AF.  Compared to the instant responsiveness of the T2i this was plain annoying and caused me to miss numerous shots.  I used the same class 10 SDHC chip in both cameras but -- this is interesting -- even without any memory chip in the camera the delays are still there.
Speed	Fast start up speed
Speed	The T3i however adds frequent and unpredictable delays when  busy  flashes in the viewfinder and the red light is on -- even in continuous mode.
Speed	Very fast auto focus on shooting.
Speed	The T3i however adds frequent and unpredictable delays when  busy  flashes in the viewfinder and the red light is on -- even in continuous mode.
Speed	#N/A
Speed	The T3i however adds frequent and unpredictable delays when  busy  flashes in the viewfinder and the red light is on -- even in continuous mode
Speed	Slower than T2i 
Speed	The T2i is FAST.  I shoot my toddler in continuous mode and the camera delivers the 3.7 fps its supposed to.  It makes a huge difference knowin
Speed	The 18-135mm lens is a nice upgrade to the standard kit 18-55mm lens. Especially if this is your first DSLR and you dont want to spend more money on lenses.
Speed	adds frequent and unpredictable delays when  busy  flashes in the viewfinder and the red light is on -- even in continuous mode
Speed	#N/A
Speed	#N/A
Speed	#N/A
Speed	The T2i is FAST.
Speed	Slower than T2i
Speed	Fast start up speed
Speed	The T2i is FAST
Speed	I used the same exact settings on both cameras large Jpeg P-mode Quick AF.  Compared to the instant responsiveness of the T2i this was plain annoying and caused me to miss numerous shots.  I used the same class 10 SDHC chip in both cameras but -- this is interesting -- even without any memory chip in the camera the delays are still there.
Speed	Slower than T2i
Speed	this was plain annoying and caused me to miss numerous shots
Speed	The T2i is FAST
Speed	Auto focus in  live view  mode seeing through the lcd instead of the viewfinder is extremely slow. 
Speed	 Very fast auto focus on shooting.
Speed	The T3i however adds frequent and unpredictable delays when  busy  flashes in the viewfinder and the red light is on -- even in continuous mode.
Speed	I bought the T2i first then decided to upgrade to the T3i.  For a period of two weeks I had both cameras in my possession so I could make a direct comparison and decided hands-down that the T2i is the one I will keep.  Why
Speed	Slower than T2i 
Speed	The T2i is FAST
Speed	I bought the T2i first then decided to upgrade to the T3i.  For a period of two weeks I had both cameras in my possession so I could make a direct comparison and decided hands-down that the T2i is the one I will keep.  Why
Speed	ConsAuto focus in  live view  mode seeing through the lcd instead of the viewfinder is extremely slow. Makes me not ever wanting to use it.
Speed	3. Takes good quality of videos.4. Very fast auto focus on shooting
Speed	Slower than T2i 
Speed	Slower than T2i 
Speed	The T2i is FAST.  I shoot my toddler in continuous mode and the camera delivers the 3.7 fps its supposed to.  It makes a huge difference knowing you can press the shutter and the camera will instantly take a picture.  The T3i however adds frequent and unpredictable delays when  busy  flashes in the viewfinder and the red light is on -- even in continuous mode.
Speed	I bought the T2i first then decided to upgrade to the T3i.  For a period of two weeks I had both cameras in my possession so I could make a direct comparison and decided hands-down that the T2i is the one I will keep.  Why
Speed	Built-in flash is not so great. Also when taking pictures on wide angle setting lens creates a shade.- No autofocus when zooming while taking video pressing shutter button half way focuses the picture.- Focus in live picture mode is slow even slower than on most point and shoot cameras
Speed	Slower than T2i 
Speed	Slower than T2i
Speed	I used the same exact settings on both cameras large Jpeg P-mode Quick AF.  Compared to the instant responsiveness of the T2i this was plain annoying and caused me to miss numerous shots.  I used the same class 10 SDHC chip in both cameras but -- this is interesting -- even without any memory chip in the camera the delays are still there.
Battery Life	Battery life is not too great. I need to charge it everyday.
Battery Life	Battery life is not too great
Battery Life	Battery life seems to be very good - longer than I expected.  The included corded battery charger will appeal to some but not to those who prefer the travel type charger wi
Battery Life	Battery life is not too great. I need to charge it everyday. To be safe consider to buy an extra Nikon EN-EL14 Rechargeable Li-Ion Battery for Nikon D3100 SLR and P7000 Digital Cameras.
Battery Life	Battery life seems to be very good - longer than I expected
Battery Life	4. Battery life is not too great. I need to charge it everyday. To be safe consider to buy an extra Nikon EN-EL14 Rechargeable Li-Ion Battery for Nikon D3100 SLR and P7000 Digital Cameras.
Battery Life	Battery life seems to be very good - longer than I expected.  The included corded battery charger will appeal to some but not to those who prefer the travel type charger with a swing-out plug.  This is not a professional level SLR but it performs very well as a small light APS-C camera.
Battery Life	Battery life seems to be very good - longer than I expected.
Battery Life	Battery life 
Battery Life	Battery life
Battery Life	. Battery life is not too great. I need to charge it everyday. To be safe consider to buy an extra Nikon EN-EL14 Rechargeable Li-Ion Battery for Nikon D3100 SLR and P7000 Digital Cameras.
Battery Life	Battery life is not too great
Battery Life	 Battery life is not too great. I
Battery Life	 Battery life is not too great. I need to charge it everyday. To be safe consider to buy an extra Nikon EN-EL14 Rechargeable Li-Ion Battery for Nikon D3100 SLR and P7000 Digital Cameras.
Battery Life	Battery life
Battery Life	3. The lens makes noises when youre recording videos using the continuous auto focus function and sometimes its not very accurate. If you buy this camera and this is your concern you can simply use manual focus which is not difficult.4. Battery life is not too great. I need to charge it everyday. To be safe consider to buy an extra Nikon EN-EL14 Rechargeable Li-Ion Battery for Nikon D3100 SLR and P7000 Digital Cameras.Over
Battery Life	Battery life seems to be very good - longer than I expected.
Battery Life	#N/A
Battery Life	 Battery life is not too great
Battery Life	Battery life is not too great
Battery Life	 Battery life is not too great. I need to charge it everyday
Battery Life	Battery life is not too great.
Battery Life	Battery life seems to be very good - longer than I expected.  The included corded battery charger will appeal to some but not to those who prefer the travel type charger with a swing-out plug.
Battery Life	Battery life seems to be very good - longer than I expected
Battery Life	Battery life is not too great.
Battery Life	 Battery life is not too great. I need to charge it everyday. To be safe consider to buy an extra Nikon EN-EL14 Rechargeable Li-Ion Battery for Nikon D3100 SLR and P7000 Digital Cameras.
Battery Life	Battery life seems to be very good - longer than I expected.  The included corded battery charger will appeal to some but not to those who prefer the travel type charger with a swing-out plug.
Battery Life	Battery life is not too great. I need to charge it everyday. To be safe consider to buy an extra Nikon EN-EL14 Rechargeable Li-Ion Battery for Nikon D3100 SLR and P7000 Digital Cameras
Battery Life	Battery life seems to be very good - longer than I expected.
Battery Life	Cons1. No wireless remote.2. Low resolution of LCD screen. It only has 230000 pixels Canon t2i has 1.02 million pixels. Sometimes when youre viewing playback you may need to zoom in to check the sharpness of the picture or do it with your computer monitor.3. The lens makes noises when youre recording videos using the continuous auto focus function and sometimes its not very accurate. If you buy this camera and this is your concern you can simply use manual focus which is not difficult.4. Battery life is not too great. I need to charge it everyday. To be safe consider to buy an extra Nikon EN-EL14 Rechargeable Li-Ion Battery for Nikon D3100 SLR and P7000 Digital Cameras
Battery Life	Battery life is not too great
Battery Life	Battery life is not too great. I need to charge it everyday. To be safe consider to buy an extra Nikon EN-EL14 Rechargeable Li-Ion Battery for Nikon D3100 SLR and P7000 Digital Cameras.
Battery Life	 Battery life seems to be very good - longer than I expected.  The included corded battery charger will appeal to some
Battery Life	Battery life is not too great. I need to charge it everyday.
Battery Life	4. Battery life is not too great. I need to charge it everyday. To be safe consider to buy an extra Nikon EN-EL14 Rechargeable Li-Ion Battery for Nikon D3100 SLR and P7000 Digital Cameras.
Memory	18MP Stills  best for the money competitors are usually 16MP
