Labels	Clips
Accessories HDMI 135 film Lens (optics) Canon (company) UV filter EF-S lens mount F-number EF Transcend Information Secure Digital Memory card single-lens reflex camera Single-lens Nikon Close-up 35 mm Camera Autofocus DX format Light Kit Headache Liquid crystal display Computer monitor	comes with a comfortable good quality neck strap and is quite light and small compared to other SLRs
Accessories HDMI 135 film Lens (optics) Canon (company) UV filter EF-S lens mount F-number EF Transcend Information Secure Digital Memory card single-lens reflex camera Single-lens Nikon Close-up 35 mm Camera Autofocus DX format Light Kit Headache Liquid crystal display Computer monitor	Make sure to get UV filter mostly for protecting the lens and a spare battery Ive got the Opteka one for 
Accessories HDMI 135 film Lens (optics) Canon (company) UV filter EF-S lens mount F-number EF Transcend Information Secure Digital Memory card single-lens reflex camera Single-lens Nikon Close-up 35 mm Camera Autofocus DX format Light Kit Headache Liquid crystal display Computer monitor	Make sure to get UV filter mostly for protecting the lens and a spare battery Ive got the Opteka one for 
Accessories HDMI 135 film Lens (optics) Canon (company) UV filter EF-S lens mount F-number EF Transcend Information Secure Digital Memory card single-lens reflex camera Single-lens Nikon Close-up 35 mm Camera Autofocus DX format Light Kit Headache Liquid crystal display Computer monitor	pictures at full 18MP take a lot of memory. Better get some means of decent storage space 750-1TB hardrive will do
Accessories HDMI 135 film Lens (optics) Canon (company) UV filter EF-S lens mount F-number EF Transcend Information Secure Digital Memory card single-lens reflex camera Single-lens Nikon Close-up 35 mm Camera Autofocus DX format Light Kit Headache Liquid crystal display Computer monitor	 They claim the new base should be available on the market soon but for now you have to buy it through graco directly.
Accessories HDMI 135 film Lens (optics) Canon (company) UV filter EF-S lens mount F-number EF Transcend Information Secure Digital Memory card single-lens reflex camera Single-lens Nikon Close-up 35 mm Camera Autofocus DX format Light Kit Headache Liquid crystal display Computer monitor	There are very many accessories and lenses for this camera.  If you want to really get serious about photography or video making then get THIS camera.
Accessories HDMI 135 film Lens (optics) Canon (company) UV filter EF-S lens mount F-number EF Transcend Information Secure Digital Memory card single-lens reflex camera Single-lens Nikon Close-up 35 mm Camera Autofocus DX format Light Kit Headache Liquid crystal display Computer monitor	  Most of these for an 8GB card are 50 or more.  I purchased two Transcend 8GB Class 10 SDHC Card TS8GSDHC10 from Amazon and so far these have been amazing.
Accessories HDMI 135 film Lens (optics) Canon (company) UV filter EF-S lens mount F-number EF Transcend Information Secure Digital Memory card single-lens reflex camera Single-lens Nikon Close-up 35 mm Camera Autofocus DX format Light Kit Headache Liquid crystal display Computer monitor	Save yourself the headache of working with the kit lens and purchase just the camera body.  Pair it with the lens of your choice but I have no regrets with my 17-55mm purchase.
Accessories HDMI 135 film Lens (optics) Canon (company) UV filter EF-S lens mount F-number EF Transcend Information Secure Digital Memory card single-lens reflex camera Single-lens Nikon Close-up 35 mm Camera Autofocus DX format Light Kit Headache Liquid crystal display Computer monitor	memory cards that they certified to use with this camera.  Most of these for an 8GB card are 50 or more.  I purchased two Transcend 8GB Class 10 SDHC Card TS8GSDHC10 from Amazon 
Accessories HDMI 135 film Lens (optics) Canon (company) UV filter EF-S lens mount F-number EF Transcend Information Secure Digital Memory card single-lens reflex camera Single-lens Nikon Close-up 35 mm Camera Autofocus DX format Light Kit Headache Liquid crystal display Computer monitor	highly recommend you to also get a Nikon 35mm f/1.8G AF-S DX Lens for Nikon Digital SLR Cameras. It can be used to take short range portraits close-ups and indoors where the light is insufficient
Acessories Kit lens System camera (association football) Camera	working with the kit lens and purchase just the camera body
Adaptability  Usability User (computing)	 user-friendly controls
Adaptability  Usability User (computing)	Works perfectly with the Snap N Go stroller piece.
Adaptability  Usability User (computing)	  Unfortunately I have not learned enough to take many pictures off of Auto mode so it acts like a point and shoot.
Adaptability For Beginners	Perfect for a beginner
Adaptability For Beginners  Digital single-lens reflex camera	if this is your first DSLR
Additional Feature Digital single-lens reflex camera Liquid crystal display Autofocus Pixel Nikon Canon (company) Megapixel Zoom lens Camera Single-lens Lithium-ion battery Computer monitor D3100 Image stabilization	articulating LCD screen
Additional Feature Digital single-lens reflex camera Liquid crystal display Autofocus Pixel Nikon Canon (company) Megapixel Zoom lens Camera Single-lens Lithium-ion battery Computer monitor D3100 Image stabilization	T2i vs the T3i there isnt much that is different it is preference whether you need a view finder that moves and if that feature is worth the extra 100.
Additional Feature Digital single-lens reflex camera Liquid crystal display Autofocus Pixel Nikon Canon (company) Megapixel Zoom lens Camera Single-lens Lithium-ion battery Computer monitor D3100 Image stabilization	PROSFULL HD VIDEO RECORDING60fps HD Recording AMAZING slow motion Manual video controlsMic input18MP Stills  best for the money competitors are usually 16MPBuilt in image stabilizer 18-55mm lensSomewhat Compact sizeEase of useFast start up speed I have caught videos with this camera seconds away from missing a fast moving skate turns on in about 1 secondPRICE since the T3i came out this camera is going down in price but essentially is the same camera as the T3iCons If any No Flip-out LCD Not that much of an issue3.7 max burst rate not very fast at allNo audio recording level adjustAlmost no low light auto focus when taking long exposures of moon/stars/light painting
Additional Feature Digital single-lens reflex camera Liquid crystal display Autofocus Pixel Nikon Canon (company) Megapixel Zoom lens Camera Single-lens Lithium-ion battery Computer monitor D3100 Image stabilization	I will make a brief of my own experience of this camera to DSLR beginnersPros1. Light weight great body design. Even with my bigger hands I can handle the camera with comfortability.2. Easy to operate. The buttons are spread evenly on left side and right side so you can use them with both hands quickly. For Canon t2i you do most things with your right thumb that slows you down a little bit.3. Takes good quality of videos.4. Very fast auto focus on shooting.Cons1. No wireless remote.2. Low resolution of LCD screen. It only has 230000 pixels Canon t2i has 1.02 million pixels. Sometimes when youre viewing playback you may need to zoom in to check the sharpness of the picture or do it with your computer monitor.3. The lens makes noises when youre recording videos using the continuous auto focus function and sometimes its not very accurate. If you buy this camera and this is your concern you can simply use manual focus which is not difficult.4. Battery life is not too great. I need to charge it everyday. To be safe consider to buy an extra Nikon EN-EL14 Rechargeable Li-Ion Battery for Nikon D3100 SLR and P7000 Digital Cameras.
Additional Features Headrest	No wireless remote.
Additional Features Headrest	head rest is removable
Additional Features Headrest	The 430EX II external flash can be supported by the camera wirelessly. On nikons this is only true for the more expensive SB800s flashes.
Additional Info Digital single-lens reflex camera 135 film Canon (company) Lens (optics)	The 18-135mm lens is a nice upgrade to the standard kit 18-55mm lens. Especially if this is your first DSLR and you dont want to spend more money on lenses. It is also good for trips taking pictures of kids or in any other situation where you dont want to change lenses. And you save about 100 when purchasing this kit compared to body + 18-135mm Canon lens.
Additional Things Required	  You do need a seat protector but youd need that with any car seat.
Adjust	but I do NOT love cleaning it
Adjust	you can recline it at 3 different levels
Adjust	Cant adjust strap length while in rear facing position
Adjust In Rear Facing	adjusting the straps
Adjust In Rear Facing	Cant adjust strap length while in rear facing position.
Adjust Strap Length	Cant adjust strap length while in rear facing position
Adjustability Headrest	head rest is removable 
Adjustability Headrest	base is adjustable you can recline it at 3 different levels
Adjustable And Reclines	recline it at 3 different levels
Adjustable And Reclines	adjustable you can recline it at 3 different levels
Adjustable Headrest Keep Pool noodle Noodle Liquid crystal display Camera Computer monitor	higher weight limit
Adjustable Headrest Keep Pool noodle Noodle Liquid crystal display Camera Computer monitor	height is adjustable 
Adjustable Headrest Keep Pool noodle Noodle Liquid crystal display Camera Computer monitor	head rest is removable
Adjustable Headrest Keep Pool noodle Noodle Liquid crystal display Camera Computer monitor	Cant adjust strap length
Adjustable Headrest Keep Pool noodle Noodle Liquid crystal display Camera Computer monitor	No thread adjustable straps
Adjustable Headrest Keep Pool noodle Noodle Liquid crystal display Camera Computer monitor	This will even work for newborns
Adjustable Headrest Keep Pool noodle Noodle Liquid crystal display Camera Computer monitor	base is adjustable you can recline it at 3 different levels
Adjustable Headrest Keep Pool noodle Noodle Liquid crystal display Camera Computer monitor	next problem I encountered was trying to get the correct extra base
Adjustable Headrest Keep Pool noodle Noodle Liquid crystal display Camera Computer monitor	t is so high in fact that my 3 1/2 year old would still be able to be rear facing in this seat
Adjustable Headrest Keep Pool noodle Noodle Liquid crystal display Camera Computer monitor	If you are going to use it rear facing you do need a rolled up towel or pool noodle underneath 
Adjustable Headrest Keep Pool noodle Noodle Liquid crystal display Camera Computer monitor	back facing in this seat for about six months and now have him forward facing.  Hes liked both ways
Adjustable Headrest Keep Pool noodle Noodle Liquid crystal display Camera Computer monitor	Cant adjust strap length while in rear facing position. This is most frustrating but not often an issue.
Adjustable Headrest Keep Pool noodle Noodle Liquid crystal display Camera Computer monitor	we can keep the seat rear facing up to 40 lbs now that the AAPs new recommendation is to wait till age 2
Adjustable Headrest Keep Pool noodle Noodle Liquid crystal display Camera Computer monitor	.  They were pretty easy to install and adjusting the straps as the kids grow is so easy in comparison to other seats.
Adjustable Headrest Keep Pool noodle Noodle Liquid crystal display Camera Computer monitor	rticulated LCD screen on the back of the camera that allows it to be positioned so that otherwise very awkward camera positions ie overhead or low to the ground are easily possible
Adjustable Position	the base is adjustable you can recline it at 3 different levels
Adjustable Straps	No thread adjustable straps
Adjustable Straps	Cant adjust strap length while in rear facing position
Adjustable Straps	adjusting the straps as the kids grow is so easy in comparison to other seats
Adjustable Straps	  I love the no rethread harness and although it took me a bit to figure out how to work it it is still fairly simple and much preferrable over the rethread type.
Adjusting Strap Length In Rear Position	Cant adjust strap length while in rear facing position
Adjusting While Facing Rear	Cant adjust strap length while in rear facing position
Advice UV filter Filter (optics)	Make sure to get UV filter mostly for protecting the lens and a spare battery
AF Autofocus Live preview Viewfinder	Auto focus in  live view  mode seeing through the lcd instead of the viewfinder is extremely slow. Makes me not ever wanting to use it.
Affordability Wallet	wallet friendly
Affordability Wallet	wallet friendly
Affordability Wallet	the price is very reasonable.
Affordable Nikon D3100	  For the money the D3100 cant be beat.
Agreement	79 of 81 people found the following review helpfu
Amount Or Placement Of Padding	Graco put overall adequate padding in the back part but where the baby sits there is absolutely NO padding.
And Videos Shutter lag (photography)	Performance. Minimal shutter lag good low-light performance nice video.
Angle Settings Can Create Shade Lens (optics) Wide-angle lens	wide angle setting lens creates a shade
Annoying Features	Cant adjust strap length while in rear facing position. This is most frustrating but not often an issue.
Annoying Features	he biggest is this darn sun visor. While it is very large the middle section is made of mesh. When the sun is bright it goes straight through the mesh and into the babys eyes. I am constantly trying to move the visor or the stroller to keep the sun out. Whoever thought to use mesh wasnt thinking.
Aperture Nikon AF-S DX Zoom-Nikkor 55-200mm f/4-5.6G 135 film	8-135mm 55-200mm or 75-300mm
Application Autofocus Shutter (photography) button	No autofocus when zooming while taking video pressing shutter button half way focuses the picture
Argument Canon (company) Liquid crystal display Computer monitor	I went for the T3i over the T2i because of the articulating LCD screen. I personally preferred the Canon T3i over the Canon T2i because of that one reason only which is not a huge deal.
Articulated LCD Screen Menu (computing)	The menu system for adjusting camera settings is also well designed and easy to use. The adjustment wheel just behind the shutter button makes changing settings very simple when in manual mode. I especially like the articulated LCD screen 
Articulating LCD Screen Liquid crystal display Computer monitor	I went for the T3i over the T2i because of the articulating LCD screen
Articulating LCD Screen Liquid crystal display Computer monitor	I went for the T3i over the T2i because of the articulating LCD screen. 
Articulating LCD Screen Liquid crystal display Computer monitor	i went with a t3i and not a t2i for the flip around screen. i shoot in awkward positions sometimes and it defiantly comes in handy.
Articulating screen Image stabilization	The articulating screen wasnt necessary yet it IS what made me choose this model over the T2i
Articulating Screen screen Image stabilization	he articulating screen wasnt necessary yet it IS what made me choose this model over the T2i
Astrophotography Autofocus Long-exposure photography	Almost no low light auto focus when taking long exposures of moon/stars/light painting
Attachments Sun visor	The  wings  that I referred to earlier the things that stick out on either side of her head do not clean easily 
Attachments Sun visor	 the biggest is this darn sun visor. While it is very large the middle section is made of mesh. When the sun is bright it goes straight through the mesh and into the babys eyes.
Attribute- Design	seat seams padded well and comfortable for my son
Attribute- Design	put overall adequate padding in the back part but where the baby sits there is absolutely NO padding
Attribute- Design	My son fits comfortably in it and has so much room verses his carrier car seat we brought him home in
Attribute- Easy Child Placement/removal	This car seat is very easy to get baby in and out of is nice and heavy very durable
Attribute- Ergonomic Design Ergonomics Intuition (knowledge)	ergonomic arrangement of controls on the camera to very very intuitive and pleasant to use
Attribute- Pixel And Grain Makeup Image resolution Liquid crystal display Display Color balance	Low resolution of LCD screen
Attribute- Pixel And Grain Makeup Image resolution Liquid crystal display Display Color balance	rom the amount of grain in the picture
Attribute- Pixel And Grain Makeup Image resolution Liquid crystal display Display Color balance	White balance in Full auto mode sometimes messes up. Some pictures came out blue-ish
Attribute- Quick Auto Focus Autofocus	Very fast auto focus on shooting
Attribute- Quick Auto Focus Autofocus	T2i is FAST.  I shoot my toddler in continuous mode and the camera delivers the 3.7 fps its supposed to
Attribute- Quick Installation Parent-in-law	My hubby and Father-in-law set this up in about 7 minutes
Attribute- Saving In 2 Forms Till Used To Camera JPEG	I have the camera saving in both RAW and JPEG until I can get familiar enough to switch completely to RAW
Attributes Autofocus Digital zoom Liquid crystal display Computer monitor Nikon D5100 Canon (company) 1080p	No autofocus when zooming while taking video
Attributes Autofocus Digital zoom Liquid crystal display Computer monitor Nikon D5100 Canon (company) 1080p	I went for the T3i over the T2i because of the articulating LCD screen.
Attributes Autofocus Digital zoom Liquid crystal display Computer monitor Nikon D5100 Canon (company) 1080p	T3i over the Nikon D5100 was because of video manual focus on the Canon and also the Nikon D5100 does not have a built-in focus motor. 
Attributes Autofocus Digital zoom Liquid crystal display Computer monitor Nikon D5100 Canon (company) 1080p	 main differences I noticed in it were the flip out LCD screen which I use more often for some of the photos I take. Among the screen the improvement to the video truly being 1080p and the simple menu. The camera itself is very user friendly whether you have read the manual or not.
Audience Digital single-lens reflex camera Camera Canon EOS 60D	not a professional 
Audience Digital single-lens reflex camera Camera Canon EOS 60D	erfect for a beginne
Audience Digital single-lens reflex camera Camera Canon EOS 60D	you have better manual capabilitie
Audience Digital single-lens reflex camera Camera Canon EOS 60D	or needing an advanced DSLR camera.
Audience Digital single-lens reflex camera Camera Canon EOS 60D	 Being a beginner in photographyi took much time to decide on models between T2iT3i and 60D. Atlast i bought T3i and i am very much satisfied with the product. 
Audio	o audio recording level adjust
Audio	No audio recording level adjust
Audio	No audio recording level adjust
Audio	No audio recording level adjust
Audio Levels	No audio recording level adjust
Audio Recording Autofocus Long-exposure photography	No audio recording level adjust
Audio Recording Autofocus Long-exposure photography	No audio recording level adjust
Audio Recording Autofocus Long-exposure photography	No audio recording level adjust
Audio Recording Autofocus Long-exposure photography	No audio recording level adjust
Audio Recording Autofocus Long-exposure photography	No audio recording level adjust
Audio Recording Autofocus Long-exposure photography	No audio recording level adjustAlmost no low light auto focus when taking long exposures of moon/stars/light painting
Audio Recording Level Adjust	No audio recording level adjust
Audip	No audio recording level adjust
Auto	Auto mode so it acts like a point and shoot
Auto	Auto point and shoot Mode was not taking the quality of pictures I was hoping for
Auto Focus Autofocus Live preview Viewfinder Point-and-shoot camera Camera (optics) Shutter (photography) button Long-exposure photography Digital zoom Nikon D3100	Almost no low light auto focus
Auto Focus Autofocus Live preview Viewfinder Point-and-shoot camera Camera (optics) Shutter (photography) button Long-exposure photography Digital zoom Nikon D3100	Almost no low light auto focus
Auto Focus Autofocus Live preview Viewfinder Point-and-shoot camera Camera (optics) Shutter (photography) button Long-exposure photography Digital zoom Nikon D3100	uto focus in  live view  mode 
Auto Focus Autofocus Live preview Viewfinder Point-and-shoot camera Camera (optics) Shutter (photography) button Long-exposure photography Digital zoom Nikon D3100	Very fast auto focus on shooting
Auto Focus Autofocus Live preview Viewfinder Point-and-shoot camera Camera (optics) Shutter (photography) button Long-exposure photography Digital zoom Nikon D3100	Very fast auto focus on shooting.
Auto Focus Autofocus Live preview Viewfinder Point-and-shoot camera Camera (optics) Shutter (photography) button Long-exposure photography Digital zoom Nikon D3100	Very fast auto focus on shooting.
Auto Focus Autofocus Live preview Viewfinder Point-and-shoot camera Camera (optics) Shutter (photography) button Long-exposure photography Digital zoom Nikon D3100	Very fast auto focus on shooting.
Auto Focus Autofocus Live preview Viewfinder Point-and-shoot camera Camera (optics) Shutter (photography) button Long-exposure photography Digital zoom Nikon D3100	Very fast auto focus on shooting.
Auto Focus Autofocus Live preview Viewfinder Point-and-shoot camera Camera (optics) Shutter (photography) button Long-exposure photography Digital zoom Nikon D3100	Very fast auto focus on shooting.
Auto Focus Autofocus Live preview Viewfinder Point-and-shoot camera Camera (optics) Shutter (photography) button Long-exposure photography Digital zoom Nikon D3100	Very fast auto focus on shooting.
Auto Focus Autofocus Live preview Viewfinder Point-and-shoot camera Camera (optics) Shutter (photography) button Long-exposure photography Digital zoom Nikon D3100	No autofocus when zooming while taking video
Auto Focus Autofocus Live preview Viewfinder Point-and-shoot camera Camera (optics) Shutter (photography) button Long-exposure photography Digital zoom Nikon D3100	No autofocus when zooming while taking video
Auto Focus Autofocus Live preview Viewfinder Point-and-shoot camera Camera (optics) Shutter (photography) button Long-exposure photography Digital zoom Nikon D3100	Focus in live picture mode is slow even slower than on most point and shoot cameras
Auto Focus Autofocus Live preview Viewfinder Point-and-shoot camera Camera (optics) Shutter (photography) button Long-exposure photography Digital zoom Nikon D3100	Almost no low light auto focus when taking long exposures of moon/stars/light painting
Auto Focus Autofocus Live preview Viewfinder Point-and-shoot camera Camera (optics) Shutter (photography) button Long-exposure photography Digital zoom Nikon D3100	Almost no low light auto focus when taking long exposures of moon/stars/light painting
Auto Focus Autofocus Live preview Viewfinder Point-and-shoot camera Camera (optics) Shutter (photography) button Long-exposure photography Digital zoom Nikon D3100	Auto focus in  live view  mode seeing through the lcd instead of the viewfinder is extremely slow
Auto Focus Autofocus Live preview Viewfinder Point-and-shoot camera Camera (optics) Shutter (photography) button Long-exposure photography Digital zoom Nikon D3100	Auto focus in  live view  mode seeing through the lcd instead of the viewfinder is extremely slow.
Auto Focus Autofocus Live preview Viewfinder Point-and-shoot camera Camera (optics) Shutter (photography) button Long-exposure photography Digital zoom Nikon D3100	Auto focus in  live view  mode seeing through the lcd instead of the viewfinder is extremely slow.
Auto Focus Autofocus Live preview Viewfinder Point-and-shoot camera Camera (optics) Shutter (photography) button Long-exposure photography Digital zoom Nikon D3100	Auto focus in  live view  mode seeing through the lcd instead of the viewfinder is extremely slow.
Auto Focus Autofocus Live preview Viewfinder Point-and-shoot camera Camera (optics) Shutter (photography) button Long-exposure photography Digital zoom Nikon D3100	No autofocus when zooming while taking video pressing shutter button half way focuses the picture.
Auto Focus Autofocus Live preview Viewfinder Point-and-shoot camera Camera (optics) Shutter (photography) button Long-exposure photography Digital zoom Nikon D3100	No autofocus when zooming while taking video pressing shutter button half way focuses the picture.
Auto Focus Autofocus Live preview Viewfinder Point-and-shoot camera Camera (optics) Shutter (photography) button Long-exposure photography Digital zoom Nikon D3100	No autofocus when zooming while taking video pressing shutter button half way focuses the picture.
Auto Focus Autofocus Live preview Viewfinder Point-and-shoot camera Camera (optics) Shutter (photography) button Long-exposure photography Digital zoom Nikon D3100	Auto focus in  live view  mode seeing through the lcd instead of the viewfinder is extremely slow. Makes me not ever wanting to use it.
Auto Focus Autofocus Live preview Viewfinder Point-and-shoot camera Camera (optics) Shutter (photography) button Long-exposure photography Digital zoom Nikon D3100	Auto focus in  live view  mode seeing through the lcd instead of the viewfinder is extremely slow. Makes me not ever wanting to use it.
Auto Focus Autofocus Live preview Viewfinder Point-and-shoot camera Camera (optics) Shutter (photography) button Long-exposure photography Digital zoom Nikon D3100	Auto focus in  live view  mode seeing through the lcd instead of the viewfinder is extremely slow. Makes me not ever wanting to use it.
Auto Focus Autofocus Live preview Viewfinder Point-and-shoot camera Camera (optics) Shutter (photography) button Long-exposure photography Digital zoom Nikon D3100	Auto focus in  live view  mode seeing through the lcd instead of the viewfinder is extremely slow. Makes me not ever wanting to use it.
Auto Focus Autofocus Live preview Viewfinder Point-and-shoot camera Camera (optics) Shutter (photography) button Long-exposure photography Digital zoom Nikon D3100	I purchased a Nikon D3100 about a month ago and right out of the box I noticed the Auto point and shoot Mode was not taking the quality of pictures I was hoping for.
Auto Focus Autofocus Live preview Viewfinder Point-and-shoot camera Camera (optics) Shutter (photography) button Long-exposure photography Digital zoom Nikon D3100	 No autofocus when zooming while taking video pressing shutter button half way focuses the picture.- Focus in live picture mode is slow even slower than on most point and shoot cameras
Auto Focus For Video Autofocus Shutter (photography) button	No autofocus when zooming while taking video pressing shutter button half way focuses the picture.
Auto Focus Is Terrible Autofocus Live preview Viewfinder	Auto focus in  live view  mode seeing through the lcd instead of the viewfinder is extremely slow. Makes me not ever wanting to use it.
Auto Focus Slow Nikon D5100 Autofocus Canon (company) Manual focus	 video manual focus on the Canon and also the Nikon D5100 does not have a built-in focus motor. I am 
Auto Foucus Autofocus	Very fast auto focus on shooting.
