Wireless,N
Ease Of Installation,this darn sun visor
Cleaning,VERY easy to instal
Installation,very sturdy camera.
Customer Service,worthy of purchase 
Overall Review, flip out LCD screen
Ease To Clean, its wallet friendly
User Credibility, No wireless remote.
No Padding,. No wireless remote
Structure,adjusting the straps
#N/A,built-in focus motor
Soft Material,difficult to install
Feature Comparison,do not clean easily 
Buttons,erfect for a beginne
Sun Visor,Fast start up speed 
Installation And Others,felt good in my hand
Size (lightweight),fine and snug as can
Comfortable,grain in the picture
Cost,great starter camera
Price,has very nice fabric
Price,he seat is gigantic.
Cost,height is adjustable
Price,higher weight limit 
Comfort,highest safety ratin
Video Zoom,I have a 2003 Maxima
Easy Installation ,Im sure this is safe
Installation,it is a big car seat
Installation,Its extremely mobile
Installation,its very comfortable
Installation,loved the guide mode
Installation,not very fast at all
Installation,rear facing position
Installation,seat is also stylish
Installation,sent me a new cover 
Installation,The seat is gigantic
Installation,Very fast auto focus
Installation,video.....Its 1080p 
Installation, delivered super fast
Installation, grain in the picture
Installation, it is a big car seat
Installation, its very comfortable
Installation, VERY easy to install
Installation,again good for trips.
Installation,built-in focus motor.
Installation,delivered super fast 
Installation,difficult to install 
Install,he is safe and secure
Install,he ISO firmware issue
Install,he size is pretty big
Install,height is adjustable 
Easy Installation,highest safety rating
Ease Of Installation,hough a bit expensive
Ease Of Installation,it wont weigh me down
Ease Of Installation,its wallet friendly a
Installation And Others,NOT love cleaning it.
Features,o not clean easily   
Features,pictures looked dull 
Installation Process,seat seems to breathe
I,Somewhat Compact size
In,The seat is gigantic.
Ease Of Use, Best Entry Level DSLR
Operation, it is a big car seat 
Pros, Its extremely mobile.
Easy To Use, loud autofocus motors
Usage, Now the 18.1MP sensor
Controls,absolutely NO padding.
Size,Camera is just amazing
Intuitive Controls,comfortable for my son
Good For Carrying Around,delays are still there
Value,easy to install base i
Comfort,fit well in both of ou
Comfort,head rest is removable
Flip Out LCD,highest safety rating.
Lcd,isnt the cheapest seat
Display,Perfect for a beginner
Components,please their customers
Usability,pretty easy to install
Weight,really easy to install
Light Weight,The quality is amazing
How Light It Is,The seat is gigantic. 
Picture Quality,The size is pretty big
Speed,This is my first DSLR 
Speed,though a bit expensive
Speed,user-friendly controls
Speed,well made and designed
Speed,  The seat is gigantic.
Speed, head rest is removable
Size, high speed memory card
Speed, highest safety rating.
Speed, i loved the guide mode
Speed, its a very tight space
Speed, user-friendly controls
Speed,and it fits just fine. 
Speed,appears to be very safe
Use,articulating LCD screen
Lens,Average Customer Review
Function,comfortable for my son.
Customer Satisfaction,easy to use and install
Price,FULL HD VIDEO RECORDING
Price,good quality neck strap
Price,Great Quality for Price
Price,head rest is removable 
Price,It is side crash tested
Price,no low light auto focus
Price,s- its wallet friendly 
Affordability,seemed very comfortable
Affordability,Since initially posting
Cost,so I dont mind the bulk
#N/A,t is side crash tested 
Price For Quality ,The seat is gigantic.  
Installation And Others,  The size is pretty big
Price, highest safety rating. 
Baby Shower Gift Option, It is side crash tested
Overall,750-1TB hardrive will do
Ratings,Although the seat is big
Customer Service,Amazon Verified Purchase
Customer Service,articulating LCD screen.
Service,Awesome but a little big
Lens,Big enough for a toddler
0,Cant adjust strap length
Size,easy to use and install 
Installation,Excellent Beginners DSLR
Installation,great deal for the price
Installation,have friends who love it
Features,I did alot of research I
Simplicity,igure that a 17in. wide 
User Friendly,It is side crash tested 
Operation,Its my first digital SLR
Easy To Use,light bump in the middle
Interface,price is very reasonable
Weight,thats soft to the touch 
Buttons,The IS works really well
Design,The pictures looked dull
Comfortable,This body is rock solid 
Comfort,uttons are spread evenly
Space,Yes it is a big car seat
Space, a view finder that moves
Spacious, Although the seat is big
User Credibility, articulating LCD screen.
Child Comfort, easy to use and install 
Hdmi Input But No Cable Included, price is very reasonable
Price, Yes it is a big car seat
Price,a great deal for the pric
Weight,Built in image stabilizer
Weight,confident that he is safe
Weight,detachable one in the box
Weight,djustable you can recline
Weight,great deal for the price.
Weight,Great value for the price
Weight,head/neck support cushion
Weight,instructions were simple 
Low Weight,Loved the colors as well.
Light Weight,Material is easy to clean
Body,No autofocus when zooming
User-friendly,price is very reasonable.
Speed,provides comfert for her.
Speed,solid and is easy to hold
Speed,the 18.1MP sensor.....WOW
Speed,the highest safety rating
Speed,The IS works really well 
Speed,they sent me a new cover 
Speed,VERY easy to install base
Speed,view finder is very clear
Shutter Speed,  Loved the colors as well
Performance - Speed, great deal for the price.
Slow Speed, head/neck support cushion
Speed, holds a child up to 65lbs
Right-hand Grip, price is very reasonable.
Comfort,17in. wide infant car seat
Comfort,a great deal for the price
Comfort,ANY level of photographer 
Comfort,Bonus- its wallet friendly
Installation,dont want to change lenses
Installation,good low-light performance
Simplicity,great deal for the price. 
Comfort,He seemed very comfortable
Weight,head/neck support cushion.
Durability,headrest DOES NOT come off
Crop,ho please their customers 
One Day Delivery,I do NOT love cleaning it.
Delivery,ice and heavy very durable
Installation,if this is your first DSLR
Padding,Install was exteremly easy
Noisey Lens,it protects my little girl
#N/A,large Jpeg P-mode Quick AF
Price,little difficult to instal
Price,Make sure to get UV filter
Weight,Material is easy to clean 
Easy To Carry,My child is so comfortable
FIt,No autofocus when zooming 
Safety,ow resolution of LCD scree
Safety,seat cover became scratchy
Safety,so easy to use and install
Crash Tested,solid and is easy to hold 
Picture Quality,the head rest is removable
Size,the seat seams padded well
Comfort,turns on in about 1 second
Size,upgraded from a Canon 20D 
Cost Analysis,VERY easy to install base 
Value For Money, chair is excellent quality
#N/A, holds a child up to 65lbs 
Weight, My child is so comfortable
Performance, so easy to use and install
Burst Rate, the head rest is removable
Burst Rate,akes good quality of videos
Number Of People Who Already Purchased,buckle system is heavy duty
Video Quality,difficult to install in car
Performance,easly instaled it in the ca
Slow Motion Video,headrest DOES NOT come off 
Video,holds the girls very secure
Video Recording,I was able to fit it easily
Video Performance,Im sure this is safe enough
FIt,it protects my little girl 
Ease Of Use,it provides comfert for her
Comfort,light weight and fits well 
LCD Screen,little difficult to install
Flip Around Screen For Different Positions,Make sure to get UV filter 
Durable,My child is so comfortable 
Overall Review ,needs to be cleaned by hand
Lens,nice and heavy very durable
Needed Accessories,No thread adjustable straps
Controls,So less noise on the Nikon.
Wireless,T3i greater then nikon 5100
Wireless,The best part was the 1080P
Safety,the video truly being 1080p
Safety,They are worth every penny.
FIt,verses his carrier car seat
#N/A,with user-friendly controls
Value,  Bonus- its wallet friendly
Focus,  Install was exteremly easy
Manual Focus/video, chair is excellent quality.
CONS - Wireless, fit really well in all cars
Size, seat cover became scratchy.
User Opinion, so easy to use and install 
Comfortable, the delays are still there.
Awesome Camera,8-135mm 55-200mm or 75-300mm
Fits Snug,a more toddler friendly seat
Head Neck Support,as the highest safety rating
Soft Comfy,Battery life is not too grea
Holds Up To 65 Lbs,comfortable on my babys skin
Abilities,easly instaled it in the car
Weight,Easy to install via my hubby
Cleaning,fit really well in all cars.
Cleaning,fit well in both of our cars
Safety,higher weight limit as well.
Bulk,Low resolution of LCD screen
Speed,mesh and into the babys eyes
Speed,not a professional level SLR
Speed,the price is very reasonable
Start Up Speed,uilt-in flash is not so grea
Start Up Speed,You do need a seat protector
Performance - Speed,  I havent tested it out yet 
Performance - Speed, easly instaled it in the car
Fast Startup, higher weight limit as well.
Ease Of Use, little difficult to install 
LCD Screen, Low resolution of LCD screen
Flip Out LCD, set this up in about 7 minut
Camera Structure,a little difficult to install
Value,asly instaled it in the car. 
Weight Limit,attery life is not too great.
Weight Limit,basically a 7D in a crop body
Adjustable,Battery life is not too great
Price,best part was the 1080P video
Price,Built-in flash is not so grea
Price,but I do NOT love cleaning it
Price,but this seat is also stylish
Price,comfortable on my babys skin.
Price,doesnt zoom far enough at all
Price,e chair is excellent quality.
Price,easly instaled it in the car.
Low Cost,Easy to install via my hubby 
Cost,Graco Snugride Child Car Seat
Overall Review,higher weight limit as well. 
Shutter Speed,if you do skate videos/photos
Shutter,issues in rear facing positio
Shutter Lag,Low resolution of LCD screen.
Shutterlag,My son fits comfortably in it
Wireless Remote,pictures are much much better
Additional Features,Takes good quality of videos.
Audience,the price is very reasonable.
Bulky,y nice car seat for the price
Price, Battery life is not too great
Money, easly instaled it in the car.
Speed, Im confident that he is safe 
Size, is so easy to use and install
Sun Visor, Low resolution of LCD screen.
Ease Of Installation, My son fits comfortably in it
#N/A, Takes good quality of videos.
Price, the price is very reasonable.
Accessories, visor and made the new base a
Cost,a little difficult to install 
Cost,Almost no low light auto focus
Cost,Auto focus in  live view  mode
No Wireless Remote,Battery life is not too great.
Features,black fabric in Texas summers 
Straps,Built-in flash is not so great
Adjust In Rear Facing,Digital 3x zoom in video mode.
Focus,easy to get baby in and out of
Installation,great purchase for our family.
Installation,I changed the camera to P S A 
Ease Of Installation,is nice and heavy very durable
Cleaning,issues in rear facing position
Features,It fit fine and snug as can be
Audience,It holds the girls very secure
Speed,Light weight great body design
Speed,Low resolution of LCD screen. 
Comfortable Usage,middle section is made of mesh
FIt,My son fits comfortably in it 
Performance,no rethread harness is awesome
Beginner DSLR,o audio recording level adjust
Features,set this up in about 7 minutes
Bulk,The chair is excellent quality
Design,there is absolutely NO padding
Weight Limit,uto focus in  live view  mode 
Highest Safety Rating,Very fast auto focus on shooti
User Credibility, Battery life is not too great.
Safety, body is rock solid and worthy 
Size, Built-in flash is not so great
Size, but this seat is also stylish 
Size, grain/dull/no detailed photos.
Size, intuitive and pleasant to use.
Space, is nice and heavy very durable
Ease Of Use, It fit fine and snug as can be
Mobility, Light weight great body design
Comfort, seemed very comfortable in it 
Child Comfort, set this up in about 7 minutes
Features, very adequate right hand grip 
Speed,. Battery life is not too great
Speed,18-135mm lens is a nice upgrade
Had To Face Forward Because Of Size,2i is the one I will keep.  Why
Style,about 1 kg / 2 pounds with lens
Company Sent Woman New Cover Free,Almost no low light auto focus 
Size,as a first time user I am happy
Size,Auto focus in  live view  mode 
Size,Battery life is not too great. 
Size,Being a beginner in photography
Size,Both were delivered super fast 
Size,Built-in flash is not so great.
Size,eat cover is made of a material
Size,ERY easy to install base in car
Safety,extra cushion that came with it
Space,For ease of use IQ form factor 
Features,great in low lighting settings.
Overall Size (Fit In Car) ,has fit really well in all cars
Fast Auto Focus,It fit fine and snug as can be.
Performance,It is so easy to use and instal
Delivery,It looks just as it is pictured
Grainy Pictures,Light weight great body design.
Size,mparisons I decided on this cam
Size,No audio recording level adjust
Bulky,recline it at 3 different level
Features,soft and fuzzy very comfortable
Comfort,The chair is excellent quality.
Installation,The material was soft and fuzzy
Lightweight,there is absolutely NO padding.
Built In Focus Motor,video manual focus on the Canon
Delivery,What sold me was the guide mode
Installing,  I changed the camera to P S A 
Safety, Battery life is not too great. 
Performance - Speed, I am upgrading from a Canon XSI
Installation And Others, It fit fine and snug as can be.
Adjustable, Light weight great body design.
Safety, set this up in about 7 minutes.
Safety,. Light weight great body design
Safety,3.7 max burst rate not very fast
Safety,amazed by the Canon T3i quality.
Safety,Built-in flash is not so great. 
Safety,great for intermediate shooters 
Safety,he biggest is this darn sun viso
Safety,he size is pretty big not really
Reviews,He still falls asleep with ease.
Safety Rating,hey were pretty easy to install 
Price,I absolutely love this car seat.
Portability,I highly recommend this it item.
Price,it has the highest safety rating
Cleaning,It is so easy to use and install
Cleaning,nd easly instaled it in the car.
Picture Quality,pathetic nikon warranty service.
Bulk,recline it at 3 different levels
Size,recommend this for long term use
Size,serious lack of adequate padding
Body,Some pictures came out blue-ish.
Size,Somewhat Compact sizeEase of use
Size,T2i is the Best Entry Level DSLR
Size,T2i is the one I will keep.  Why
Size,The seat was comfortable looking
Size,They were pretty easy to install
Size,This is a great option for those
Weight,This will even work for newborns
FIt,VERY easy to install base in car
Size For Vehicle,Very fast auto focus on shooting
Ease Of Use,very nice car seat for the price
Size,Very satisfied with this product
Mobility,What sold me was the guide mode.
Loud Autofocus Motors, Battery life is not too great. I
High Resolution, Light weight great body design. 
High Resolution, The material is easy to take off
Safety, VERY easy to install base in car
T2i, Very fast auto focus on shooting
Comfort,easy if you read the instructions
Performance,ergonomic arrangement of controls
Installation,f1.8 and the Tamron 70-300 lenses
Installation And Others,form factor it wont weigh me down
Design,frequent and unpredictable delays
Removable Head Rest,he biggest is this darn sun visor
Removable Head Rest,he middle section is made of mesh
Removable Head Rest,He seemed very comfortable in it 
Removable Head Rest,it has the highest safety rating.
Headrest Is Removable,It is so easy to use and install 
View Of Driver,Not much padding in the seat part
Installation And Others,Oh and the video.....Its 1080p HD
Convenience,recline it at 3 different levels.
Adjustable,safety was my number one priority
Features,The best part was the 1080P video
Features,the price in amazon is very cheap
Headrest Removable,They were pretty easy to install 
Components,this seat makes it easy to do so.
Additional Features,This will even work for newborns.
Safety,VERY easy to install base in car.
Safety,Very fast auto focus on shooting.
Safety,very high ISO levels in Auto Mode
Highest Safety Rating,want to move from film to digital
Price,well constructed and pretty comfy
Adaptability For Beginners,  It is so easy to use and install
Experience, and easly instaled it in the car.
Installation, because they did not fit backward
Install, it has the highest safety rating.
Installation, its a little difficult to install
Easy To Install, serious lack of adequate padding.
Quality, The best part was the 1080P video
Quality, VERY easy to install base in car.
Space, Very fast auto focus on shooting.
Size,17in. wide infant car seat will do
Size,appears to be a very sturdy camera
Size,Battery life seems to be very good
Size,Built-in flash is not so great. Al
Size,Focus in live picture mode is slow
Size,it has fit really well in all cars
Size,The best part was the 1080P video.
Size,the biggest is this darn sun visor
Size,The no rethread harness is awesome
Size,The seat holds a child up to 65lbs
Large Size,very comfortable for a little baby
Size Of Seat Is Fairly Large,VERY easy to install base in car. 
Is Very Big,we feel both our children are safe
Ease Of Use,you have better manual capabilitie
Price,  It is so easy to use and install 
Ease Of Use, its a little difficult to install 
User Interface, The best part was the 1080P video.
Controls, the biggest is this darn sun visor
Controls, we feel both our children are safe
Durability,. Very fast auto focus on shooting.
Size,17in. wide infant car seat will do.
"Size, Too Big",A good car seat that fits our needs
Head Rest,Battery life seems to be very good 
Head Rest,difficult to install it rear facing
High Speed And Memory Card,Focus in live picture mode is slow 
Safety,hey are easy to install especially 
Rating,I am very happy about the decision.
Guide Mode,it has fit really well in all cars.
Space,It is so easy to use and install   
Adaptability ,It isnt the cheapest seat out there
Features,nice fabric thats soft to the touch
Safety,Not much padding in the seat part..
Safety,or needing an advanced DSLR camera.
Safety,t cover is made of a material where
Safety,t has a higher weight limit as well
Safety,The 18-135mm lens is a nice upgrade
LCD Screen,The best part was the 1080P video. 
LCD Screen,the biggest is this darn sun visor.
LCD Screen,very intuitive and pleasant to use.
LCD Screen,wallet friendly and in this economy
Additional Feature,was amazed by the Canon T3i quality
Customer Satisfaction,  the price in amazon is very cheap.
Comfort,  The seat holds a child up to 65lbs
Installing, has a higher weight limit as well. 
Install, it was a little tricky to get it in
Ease Of Installation, The 18-135mm lens is a nice upgrade
Video Quality, the biggest is this darn sun visor.
Video,4. Very fast auto focus on shooting.
Video,600d has better continuous recording
Video,check me out brittneysheystudios.com
Video,comes with head/neck support cushion
Video,difficult to install it rear facing.
Video,For the money the D3100 cant be beat
Video Recording,I feel like you get what you pay for
Neck Strap,it has a higher weight limit as well
Price,Pair it with the lens of your choice
Price,This is not a professional level SLR
Adjustability,ull-HD Movie Mode Digital SLR Camera
Safety Tested,  The seat holds a child up to 65lbs 
Autofocus/low Light, new saftey 1st car seat she loves it
Price,- Focus in live picture mode is slow 
Comfortability,A few things I dont like but not many
Price,comes with head/neck support cushion.
Size,Especially if this is your first DSLR
Very Bulky,For the money the D3100 cant be beat.
Safety,good low-light performance nice video
Size,his seat is great and my son LOVES it
Size,I also find it really easy to install
Safety,it does a good job of taking pictures
Safety,light about 1 kg / 2 pounds with lens
Storage,s easy if you read the instructions. 
Size,shoots great in low lighting settings
User Credibility,those of us who cant afford a Britax.
Screen, companies who please their customers 
Size, little tricky to get it in. Tight fit
Overall Size (Fit In Car) , shoots great in low lighting settings
Size,14.2MP Digital SLR Camera with 18-55mm
Size,Built in image stabilizer 18-55mm lens
Size,Canon 15-85mm f/3.5-5.6 EF-S Zoom Lens
Size,Catch a lot of stuff under the padding
Size,Highly recommended to other newbies wh
Size,hoots great in low lighting settings. 
Size,It appears to be a very sturdy camera.
Size,No good priced  normal  50mm/35mm lens
Size,not in the auto point and shoot modes.
Size,pictures they are professional looking
Design,rom the amount of grain in the picture
Comfort,seat seams padded well and comfortable
Space,shoots great in low lighting settings.
FIt,The grain was drowning out the details
Big Space,them will tell you they are crap lense
Usability,  For the money the D3100 cant be beat.
Toddler, best deal at 789.99 with the lens kit.
Adjustable, good low-light performance nice video.
Easy To Install,3.7 max burst rate not very fast at all
Install,60fps HD Recording AMAZING slow motion 
Quality,Big enough for a toddlerEasy to install
Quality,comfortable and appears to be very safe
General,cons the biggest is this darn sun visor
0,essentially sitting on the hard plastic
Beginner Friendly,Excellent camera though a bit expensive
Beginner's Toy,Im confident that he is safe and secure
A Beginner's Camera,It is a big seat especially rear facing
Price,It is a well made and designed car seat
Price,It is very user Friendly and Fun to use
Price,Now for the cons.  The seat is gigantic
Cost,o much room verses his carrier car seat
Feedback,out of stock at Amazon and also with 10
#N/A,padded well and comfortable for my son.
Size,Picture quality on this t2i is stunning
Safety,The 18-135 lens is nice but a bit large
Safety,The camera itself is very user friendly
Safety,video manual focus on the Canon and als
Beginner,wide angle setting lens creates a shade
FIt,you can recline it at 3 different level
Price, point and shoot the pictures are great.
Price, shoots great in low lighting settings. 
Price,14.2 mp 502g light weight. 3 inch screen
Price,bigger than a lot of other car seats out
Reasonable Price,Im confident that he is safe and secure.
Padding,It is a big seat especially rear facing.
Stabilization,It is very user Friendly and Fun to use.
Picture Quality,It takes my husband less than 2 minutes.
Sturdiness,it was easy if you read the instructions
Buttons,Now for the cons.  The seat is gigantic.
Size,ou can recline it at 3 different levels.
#N/A,overall has the same features as the T2i
View Finder,prices were just too close to pass it up
Size For Vehicle,really well constructed and pretty comfy
Screen,Seriously disappointed with this carseat
LCD Screen,very nice fabric thats soft to the touch
Installation And Others,you can recline it at 3 different levels
Price,  It is a big seat especially rear facing
Good Price, I was able to fit it easily and securely
Space Occupied, True Fit convertable car seat is amazing
Price,baby sits there is absolutely NO padding.
Overall,digital photography at a reasonable price
Image Stabilisation,Im confident that he is safe and secure. 
Safety,Ive had it for about a year and I love it
Detachable Cup Holder,No Flip-out LCD Not that much of an issue
Recline,Now for the cons.  The seat is gigantic. 
Price,Seriously disappointed with this carseat 
Price,you can recline it at 3 different levels.
#N/A,you cannot tell if the car seat is level.
Value/Price, it was easy if you read the instructions.
Comfort,couldnt be more happier with this Purchase
Support,elivered one day after I ordered it online
Support,I could not see myself spending that much 
Holding A Baby,I have no regrets with my 17-55mm purchase
Head Support Cushion,just not in the auto point and shoot modes
Head/neck Support,little difficult to install but you get th
Installation,Material is easy to clean and comfortable 
Features,Overall a very nice car seat for the price
Stylish,Overall we feel both our children are safe
Design,professional looking my family and friends
Material,the camera and lens seem to work very well
Cleaning,They would have rested on the middle seats
Material Easy To Clean,This camera is exactly as it is advertised
Maintenance,you cannot tell if the car seat is level. 
Equipment,  It is a big seat especially rear facing. 
Price, I could not see myself spending that much 
Price,Auto mode so it acts like a point and shoot
Price,buckle system is heavy duty and easy to use
Price,Comfortable for kids from infant to toddler
Price,Cons- Price- Built-in flash is not so great
Price,Craig Benham - Photographic Adventures Ltd 
Price,excellent padding and very nice soft fabric
Price,fits comfortably in it and has so much room
Price,I could not see myself spending that much .
Price,I have no regrets with my 17-55mm purchase.
Price,I purchased this seat because it was rated 
Price,It is GREAT for skate/surf video because of
Price,just not in the auto point and shoot modes.
Cost,my little ones head did not hang over once.
Comfort,Overall a very nice car seat for the price.
Comfort,you dont want to spend more money on lenses
Ease Of Use, dont need to compromise on quality or style
Performance - Speed, Fit my newborns head with the extra cushion
Safety, I could not see myself spending that much .
Lens,Battery life seems to be very good - longer 
Customer Service,comfortable and Im confident that he is safe
Installation And Others,excellent padding and very nice soft fabric.
Use,head kept his head from slumping to the side
Colors,I am a person to research and research again
Price,I can just flip open my tripod lock and GO  
Head/neck Support Cushion,loved the guide mode when in doubt use guide
Durable,Most of these for an 8GB card are 50 or more
Price,No autofocus when zooming while taking video
Size,side crash tested and the base is adjustable
Price, has so much room verses his carrier car seat
For Any Photographer, No autofocus when zooming while taking video
Price, Overall a very nice car seat for the price. 
Price, very comfortable and appears to be very safe
Price,but it was easy if you read the instructions.
Price,Canon service is apparently better than nikon
Value,delivered one day after I ordered it online. 
Cost,extremely difficult to install it rear facing
Lens,I found this to be a great deal for the price
Not Needing To Change Lenses,ight fit but does the job its supposed to do.
Low-light Performance,it took me a bit to figure out how to work it
Low Light Performance,light weight and fits well in the middle seat
Price,material is easy to take off and machine wash
Comfort,Most canon lenses have loud autofocus motors.
Comfort,suede-like plush material -- free of charge  
Head Rest,we can keep the seat rear facing up to 40 lbs
Head Rest Does Not Come Off,you dont want to spend more money on lenses. 
Please Their Customers, but it was easy if you read the instructions.
Features, extremely difficult to install it rear facing
Durable,but it was easy if you read the instructions. 
Safety,Canon service is apparently better than nikon.
Long-lasting,excellent padding and very nice soft fabric. I
Adaptability For Beginners ,Hard to clean - Headrest pad does not come off
Installation,I did end up having my son install it for me. 
Installation,I found this to be a great deal for the price.
Installation,i loved the guide mode when in doubt use guide
Comfort,material is easy to take off and machine wash 
Safety,Minimal shutter lag good low-light performance
Quality,nice upgrade to the standard kit 18-55mm lens.
Installation,situation where you dont want to change lenses
User-friendly,tall was exteremly easy and it fit well in bot
UV Filter For Lense,The pictures at full 18MP take a lot of memory
Cleaning,Tight fit but does the job its supposed to do.
#N/A,we dont need to compromise on quality or style
Comfort,Canon service is apparently better than nikon. 
Comfort,car seat is very easy to get baby in and out of
Comfort,Decided to get t2i over t3i. . .and happy I did
Child Comfort,does not block my view since he is still small.
Child Comfort,excellent padding and very nice soft fabric. I 
Zooming Autofocus,I did a lot of research going into the purchase
Resolution,is camera is very tight on power consumption an
Material,look out of the windows at the world around her
Comfort,really snugly in my car and doesnt move around.
Installation,son fits comfortably in it and has so much room
Install,t holds the girls very secure and they love the
Controls,The Air Protect only holds a child up to 50lbs.
